org_name,org_website,org_type,source_link,source_type,access_status,opportunity_type,geographic_focus,mediums_supported,estimated_opp_per_year
Trillium Arts,https://www.trilliumartsnc.org/,Arts Organization,https://artistcommunities.org/directory/residencies/ace-ashevillechicago-exchange-choreographic-fellowship,residencies,invitation,"residency, fellowship","Mars Hill, NC",dance,2026-01-05 00:00:00
ACRE,https://www.acreresidency.org/,Arts Organization,https://artistcommunities.org/directory/residencies/acre,residencies,open,residency,"Steuben, WI",multidisciplinary,10+
Boston Center for the Arts,https://artistcommunities.org/directory/residencies/activate-residency,Arts Organization,https://artistcommunities.org/directory/residencies/activate-residency,residencies,open,residency,"Boston, MA",multidisciplinary,10+
Newport Art Museum,https://newportartmuseum.org/education/air-newport//,Museum,https://artistcommunities.org/directory/residencies/airnewport,residencies,open,residency,"Newport, RI",visual arts,2026-01-05 00:00:00
Miller Art Museum,https://millerartmuseum.org,Museum,https://artistcommunities.org/directory/residencies/al-mickey-quinlan-artist-residency,residencies,open,residency,"Sturgeon Bay, WI",visual arts,1.0
Chulitna Lodge Wilderness Retreat,http://chulitnalodge.com/artists,Arts Organization,https://artistcommunities.org/directory/residencies/alaska-chulitna-lodge-wilderness-retreat-creative-residency,residencies,open,residency,"Port Alsworth, AK",multidisciplinary,2026-05-10 00:00:00
Bunnell Street Arts Center,https://www.bunnellarts.org/,Arts Organization,https://artistcommunities.org/directory/residencies/alaska-air-bunnell-street-arts-center-artist-residence,residencies,open,residency,"Homer, AK",multidisciplinary,2026-05-10 00:00:00
Alchemy Artists Residency,https://makealchemy.com/,Arts Organization,https://artistcommunities.org/directory/residencies/alchemy-artists-residency,residencies,open,residency,"Toronto, ON, Canada",multidisciplinary,10+
Alderworks Alaska Writers and Artists Retreat,http://alderworksalaska.com/,Arts Organization,https://artistcommunities.org/directory/residencies/alderworks-alaska-writers-and-artists-retreat,residencies,open,residency,"Skagway, AK","visual arts, writing",3.0
Anderson Center at Tower View,https://www.andersoncenter.org/,Arts Organization,https://artistcommunities.org/directory/residencies/anderson-center-tower-view-artist-residency-program,residencies,open,residency,"Red Wing, MN",multidisciplinary,10+
Anderson Center at Tower View,https://www.andersoncenter.org/,Arts Organization,https://artistcommunities.org/directory/residencies/anderson-center-tower-view-early-career-artist-residency-program,residencies,open,residency,"Red Wing, MN",multidisciplinary,1.0
Anderson Ranch Arts Center,https://www.andersonranch.org/programs/artists-in-residence-program/,Arts Organization,https://artistcommunities.org/directory/residencies/anderson-ranch-artists-residence-program,residencies,open,residency,"Snowmass Village, CO",visual arts,2026-05-10 00:00:00
Archie Bray Foundation,https://archiebray.org/,Foundation,https://artistcommunities.org/directory/residencies/archie-bray-foundation-long-term-residency,residencies,open,residency,"Helena, MT",ceramics,2026-05-10 00:00:00
Archie Bray Foundation,https://archiebray.org/,Foundation,https://artistcommunities.org/directory/residencies/archie-bray-foundation-summer-residency,residencies,open,residency,"Helena, MT",ceramics,2026-05-10 00:00:00
Arroscia,https://arrosciaresidency.org,Arts Organization,https://artistcommunities.org/directory/residencies/arroscia-residency,residencies,open,residency,"Pieve di Teco, Italy",visual arts,2026-05-10 00:00:00
Arrowmont School of Arts and Crafts,https://www.arrowmont.org/artist-in-residence/how-to-apply/,Arts Organization,https://artistcommunities.org/directory/residencies/arrowmont-school-arts-and-crafts-artists-residence-program,residencies,open,residency,"Gatlinburg, TN",crafts,2026-05-10 00:00:00
Women's Studio Workshop,https://wsworkshop.org/residencies/art-in-ed-workspace-residency/,Arts Organization,https://artistcommunities.org/directory/residencies/art-education-workspace-residency,residencies,open,residency,"Kingston, NY",visual arts,2026-01-05 00:00:00
Michigan State University,https://arts.msu.edu/discover/key-initiatives/,Educational Institution,https://artistcommunities.org/directory/residencies/art-msu-and-university-health-and-wellbeing-artist-residence,residencies,open,residency,"East Lansing, MI",multidisciplinary,1.0
Art Omi,https://artomi.org/residencies,Arts Organization,https://artistcommunities.org/directory/residencies/art-omi,residencies,open,residency,"Ghent, NY",multidisciplinary,10+
Newnan Art Rez,https://newnanartist.org/,Arts Organization,https://artistcommunities.org/directory/residencies/art-rez-newnan-ga,residencies,open,residency,"Newnan, GA",multidisciplinary,2026-05-10 00:00:00
L.a. Studio & ART-14,https://www.lastudio.org/home,Arts Organization,https://artistcommunities.org/directory/residencies/art-14-residency-program,residencies,open,residency,"Patton, PA",multidisciplinary,2026-05-10 00:00:00
Arte Studio Ginestrelle,https://artestudioginestrelle.wordpress.com/,Arts Organization,https://artistcommunities.org/directory/residencies/arte-studio-ginestrelle,residencies,open,residency,"Assisi, Italy","visual arts, writing",10+
Iris Art Centre,http://www.irisartcentre.com/,Arts Organization,https://artistcommunities.org/directory/residencies/artist-coaching-residency,residencies,open,residency,"Afidnes, Greece",multidisciplinary,2026-05-10 00:00:00
The Factory,https://www.factoryonwillow.com/air,Arts Organization,https://artistcommunities.org/directory/residencies/artist-residence-factory,residencies,open,residency,"Manchester, NH",multidisciplinary,2026-05-10 00:00:00
Watershed Center for the Ceramic Arts,https://www.watershedceramics.org/,Arts Organization,https://artistcommunities.org/directory/residencies/artist-residencies,residencies,open,residency,"Newcastle, ME",ceramics,10+
The Studios of Key West,https://tskw.org/,Arts Organization,https://artistcommunities.org/directory/residencies/artist-residencies-key-west-fl,residencies,open,residency,"Key West, FL",multidisciplinary,10+
Truro Center For The Arts At Castle Hill,https://www.castlehill.org/opportunities#edgewood-residency,Arts Organization,https://artistcommunities.org/directory/residencies/artist-residency-edgewood-farm,residencies,open,residency,"Truro, MA",multidisciplinary,2026-05-10 00:00:00
Peninsula School of Art,https://www.peninsulaschoolofart.org/,Arts Organization,https://artistcommunities.org/directory/residencies/artist-residence-programs-peninsula-school-art,residencies,open,residency,"Fish Creek, WI",visual arts,6.0
Artists in Residence in Everglades (AIRIE),https://www.airie.org/,Arts Organization,https://artistcommunities.org/directory/residencies/artists-residence-everglades-airie-residency-program,residencies,open,residency,"Homestead, FL",multidisciplinary,10+
Armory Art Center,https://armoryart.org/art-center-programs/artist-in-residence/,Arts Organization,https://artistcommunities.org/directory/residencies/artists-residence-program-0,residencies,open,residency,"West Palm Beach, FL",visual arts,2026-05-10 00:00:00
Women's Studio Workshop,https://wsworkshop.org/residencies/artists-book-residency-grant/,Arts Organization,https://artistcommunities.org/directory/residencies/artists-book-residency-grant,residencies,open,"residency, grant","Kingston, NY",visual arts,2026-01-05 00:00:00
Lower Manhattan Cultural Council,https://lmcc.net/,Arts Organization,https://artistcommunities.org/directory/residencies/arts-center-residency,residencies,open,residency,"New York, NY",multidisciplinary,10+
Tofte Lake Center,https://toftelake.org/,Arts Organization,https://artistcommunities.org/directory/residencies/arts-educators-residency,residencies,open,residency,"Ely, MN",multidisciplinary,6.0
Asia Culture Center,https://www.acc.go.kr/en,Arts Organization,https://artistcommunities.org/directory/residencies/asia-culture-center-international-residency,residencies,open,residency,"Gwangju, South Korea",multidisciplinary,10+
ARCAthens,https://arcathens.org/,Arts Organization,https://artistcommunities.org/directory/residencies/athens-residency-program,residencies,open,residency,"Athens, Greece",visual arts,10+
Aviário Studio,https://www.aviariostudio.eu/,Arts Organization,https://artistcommunities.org/directory/residencies/aviario-studio-art-residency,residencies,open,residency,"Ferreira do Zêzere, Portugal",multidisciplinary,10+
Aviário Studio,https://www.aviariostudio.eu/,Arts Organization,https://artistcommunities.org/directory/residencies/aviario-studio-artist-book-residency,residencies,open,residency,"Ferreira do Zêzere, Portugal",artist books,10+
Aviário Studio,https://www.aviariostudio.eu/,Arts Organization,https://artistcommunities.org/directory/residencies/aviario-studio-ceramics-residency,residencies,open,residency,"Ferreira do Zêzere, Portugal",ceramics,10+
Aviário Studio,https://www.aviariostudio.eu/,Arts Organization,https://artistcommunities.org/directory/residencies/aviario-studio-large-format-residency,residencies,open,residency,"Ferreira do Zêzere, Portugal",visual arts,2026-05-10 00:00:00
Aviário Studio,https://www.aviariostudio.eu/,Arts Organization,https://artistcommunities.org/directory/residencies/aviario-studio-multidisciplinary-residency,residencies,open,residency,"Ferreira do Zêzere, Portugal",multidisciplinary,10+
Aviário Studio,https://www.aviariostudio.eu/,Arts Organization,https://artistcommunities.org/directory/residencies/aviario-studio-photography-residency,residencies,open,residency,"Ferreira do Zêzere, Portugal",photography,2026-05-10 00:00:00
Aviário Studio,https://www.aviariostudio.eu/,Arts Organization,https://artistcommunities.org/directory/residencies/aviario-studio-printmaking-residency,residencies,open,residency,"Ferreira do Zêzere, Portugal",printmaking,10+
Arteles Creative Center,https://www.arteles.org/,Arts Organization,https://artistcommunities.org/directory/residencies/back-basics-thematic-residency-program-finland,residencies,open,residency,"Haukijärvi, Finland",multidisciplinary,2026-05-10 00:00:00
Banff Centre for Arts & Creativity,https://www.banffcentre.ca/,Arts Organization,https://artistcommunities.org/directory/residencies/banff-centre-arts-creativity-cultural-leadership,residencies,open,residency,"Banff, Canada",cultural leadership,10+
Banff Centre for Arts & Creativity,https://www.banffcentre.ca/,Arts Organization,https://artistcommunities.org/directory/residencies/banff-centre-arts-creativity-indigenous-arts,residencies,open,residency,"Banff, Canada",indigenous arts,2026-05-10 00:00:00
Banff Centre for Arts & Creativity,https://www.banffcentre.ca/,Arts Organization,https://artistcommunities.org/directory/residencies/banff-centre-arts-creativity-literary-arts,residencies,open,residency,"Banff, Canada",writing,10+
Banff Centre for Arts & Creativity,https://www.banffcentre.ca/,Arts Organization,https://artistcommunities.org/directory/residencies/banff-centre-arts-creativity-mountain-culture,residencies,open,residency,"Banff, Canada","film, writing",10+
Banff Centre for Arts & Creativity,https://www.banffcentre.ca/,Arts Organization,https://artistcommunities.org/directory/residencies/banff-centre-arts-creativity-performing-arts,residencies,open,residency,"Banff, Canada",performing arts,10+
Banff Centre for Arts & Creativity,https://www.banffcentre.ca/,Arts Organization,https://artistcommunities.org/directory/residencies/banff-centre-arts-creativity-visual-arts,residencies,open,residency,"Banff, Canada",visual arts,10+
Boston Center for the Arts,https://bostonarts.org/,Arts Organization,https://artistcommunities.org/directory/residencies/bca-dance-lab-residency,residencies,open,residency,"Boston, MA",dance,10+
Boston Center for the Arts,https://bostonarts.org/,Arts Organization,https://artistcommunities.org/directory/residencies/bca-playwright-residency,residencies,open,residency,"Boston, MA",playwriting,2026-05-10 00:00:00
Bemis Center for Contemporary Arts,https://www.bemiscenter.org/,Arts Organization,https://artistcommunities.org/directory/residencies/bemis-center-contemporary-arts,residencies,open,residency,"Omaha, NE",multidisciplinary,10+
Bethany Arts Community,https://bethanyarts.org/,Arts Organization,https://artistcommunities.org/directory/residencies/bethany-arts-community-annual-fall-multidisciplinary-residency,residencies,open,residency,"Ossining, NY",multidisciplinary,10+
Bethany Arts Community,https://bethanyarts.org/,Arts Organization,https://artistcommunities.org/directory/residencies/bethany-arts-community-annual-poetry-residency,residencies,open,residency,"Ossining, NY",poetry,2026-05-10 00:00:00
Bethany Arts Community,https://bethanyarts.org/,Arts Organization,https://artistcommunities.org/directory/residencies/bethany-arts-community-emerging-artist-fellowship,residencies,open,"residency, fellowship","Ossining, NY",multidisciplinary,1.0
Zaccho Dance Theatre,https://zaccho.org/?resids_black-futures=,Arts Organization,https://artistcommunities.org/directory/residencies/black-futures,residencies,open,residency,"San Francisco, CA",dance,2026-05-10 00:00:00
Bloedel Reserve,https://bloedelreserve.org/creative-residency/,Arts Organization,https://artistcommunities.org/directory/residencies/bloedel-reserve-creative-residency,residencies,open,residency,"Bainbridge Island, WA",multidisciplinary,2026-05-10 00:00:00
BOOM Concepts,https://www.boomuniverse.co/,Arts Organization,https://artistcommunities.org/directory/residencies/boom-universe-residency-alloy-studios,residencies,invitation,residency,"Pittsburgh, PA",multidisciplinary,2026-05-10 00:00:00
Boston Center for the Arts,https://bostonarts.org/,Arts Organization,https://artistcommunities.org/directory/residencies/boston-dancemakers-residency,residencies,open,residency,"Boston, MA",dance,10+
Branscombe House Artist Residency,https://www.richmond.ca/branscomberesidency,Arts Organization,https://artistcommunities.org/directory/residencies/branscombe-house-artist-residency,residencies,open,residency,"Richmond, Canada",multidisciplinary,1.0
Bryn Du Mansion,https://www.bryndu.com/artist-in-residence-program,Arts Organization,https://artistcommunities.org/directory/residencies/bryn-du-artist-residence-program,residencies,open,residency,"Granville, OH",multidisciplinary,2026-05-10 00:00:00
Buinho,https://buinho.pt/,Arts Organization,https://artistcommunities.org/directory/residencies/buinho-residency-program-portugal,residencies,open,residency,"Messejana, Portugal",multidisciplinary,10+
Woodstock Byrdcliffe Guild,http://www.woodstockguild.org/,Arts Organization,https://artistcommunities.org/directory/residencies/byrdcliffe-artists-residence-program,residencies,open,residency,"Woodstock, NY",multidisciplinary,10+
Gibraltar Point Centre for the Arts,https://gibraltarpointcentre.ca/2025/03/call-for-proposals-winter-2026-thematic-residencies-at-gibraltar-point/,Arts Organization,https://artistcommunities.org/directory/residencies/call-proposals-winter-2026-thematic-residencies-gibraltar-point,residencies,open,residency,"Toronto, Canada",multidisciplinary,2026-05-10 00:00:00
The Camargo Foundation,https://camargofoundation.org/apply/current-calls/,Foundation,https://artistcommunities.org/directory/residencies/camargo-fellowship,residencies,open,"residency, fellowship","Cassis, France","arts, humanities",10+
Center for the Arts Evergreen,https://evergreenarts.org/artistinresidence/,Arts Organization,https://artistcommunities.org/directory/residencies/center-arts-evergreen-artist-residence-program,residencies,open,residency,"Evergreen, CO",multidisciplinary,2026-05-10 00:00:00
Truro Center For The Arts At Castle Hill,https://www.castlehill.org/opportunities,Arts Organization,https://artistcommunities.org/directory/residencies/ceramic-residency-castle-hill,residencies,open,residency,"Truro, MA",ceramics,2026-05-10 00:00:00
Eureka Springs School of the Arts,https://essa-art.org/instructors/residency-program/,Arts Organization,https://artistcommunities.org/directory/residencies/ceramics-residency-essa,residencies,open,residency,"Eureka Springs, AR",ceramics,2026-05-10 00:00:00
Chalk Hill Artist Residency,https://www.chalkhillresidency.com/,Arts Organization,https://artistcommunities.org/directory/residencies/chalk-hill-artist-residency-program,residencies,open,residency,"Healdsburg, CA",multidisciplinary,2026-05-10 00:00:00
Chateau d'Orquevaux,https://www.chateauorquevaux.com/,Arts Organization,https://artistcommunities.org/directory/residencies/chateau-dorquevaux-artists-writers-residency-france,residencies,open,residency,"Orquevaux, France","visual arts, writing",10+
V4L Arts,https://v4larts.com/,Arts Organization,https://artistcommunities.org/directory/residencies/china-folk-house-air,residencies,invitation,residency,"Harpers Ferry, WV",folk arts,2026-01-05 00:00:00
Chunk Of The Moon,https://www.madisonmurphybarney.com/chunk-of-the-moon-artist-residency,Arts Organization,https://artistcommunities.org/directory/residencies/chunk-moon,residencies,open,residency,"Middlesex, VT",multidisciplinary,2026-05-10 00:00:00
Nekubi Art Residency,https://www.nekubi.com/,Arts Organization,https://artistcommunities.org/directory/residencies/cities-sea-re-imagine-mediterranean-2025-art-residency-greece,residencies,open,residency,"Kavala, Greece",multidisciplinary,2026-05-10 00:00:00
Civitella Ranieri Foundation,https://civitella.org/,Foundation,https://artistcommunities.org/directory/residencies/civitella-ranieri,residencies,nomination,residency,"Umbertide, Italy","visual arts, writing, music",10+
"Core Program | The Museum of Fine Arts, Houston",https://www.mfah.org/fellowships/core-program/,Museum,https://artistcommunities.org/directory/residencies/core-residency-program,residencies,open,residency,"Houston, TX","visual arts, writing",10+
Cow House Studios,https://cowhousestudios.com/artist-residencies/,Arts Organization,https://artistcommunities.org/directory/residencies/cow-house-studios,residencies,open,residency,"Enniscorthy, Ireland",visual arts,10+
The Skopelos Foundation for the Arts,http://www.skopartfoundation.org/,Foundation,https://artistcommunities.org/directory/residencies/create-art-beautiful-island-skopelos-greece,residencies,open,residency,"Skopelos, Greece","ceramics, visual arts",10+
Craigardan,http://craigardan.org/,Arts Organization,https://artistcommunities.org/directory/residencies/creative-residency-program,residencies,open,residency,"Elizabethtown, NY",multidisciplinary,10+
Creekside Arts,https://creeksidearts.org/,Arts Organization,https://artistcommunities.org/directory/residencies/creekside-arts-residency-program,residencies,open,residency,"Eureka, CA",multidisciplinary,2026-05-10 00:00:00
Crosstown Arts Residency,https://crosstownarts.org/,Arts Organization,https://artistcommunities.org/directory/residencies/crosstown-arts-residency-program,residencies,open,residency,"Memphis, TN",multidisciplinary,10+
CubaSeen,https://santafeworkshops.com/workshop/cubaseen-artist-in-residency-in-havana/,Arts Organization,https://artistcommunities.org/directory/residencies/cubaseen-artist-residency-havana,residencies,open,residency,"Havana, Cuba",multidisciplinary,2026-05-10 00:00:00
The Respite,https://respiteintheround.squarespace.com/cultural,Arts Organization,https://artistcommunities.org/directory/residencies/cultural-nature-based-retreat,residencies,open,residency,"Rougemont, NC",multidisciplinary,2026-05-10 00:00:00
Cuttyhunk Island Artists' Residency,https://www.cuttyhunkislandresidency.com/artists,Arts Organization,https://artistcommunities.org/directory/residencies/cuttyhunk-island-artists-residency,residencies,open,residency,"Cuttyhunk, MA",multidisciplinary,2026-05-10 00:00:00
North American Cultural Laboratory (NACL),https://www.nacl.org/,Arts Organization,https://artistcommunities.org/directory/residencies/deep-space-performance-residency,residencies,open,residency,"Highland Lake, NY",performance,2026-05-10 00:00:00
Djerassi Resident Artists Program,https://djerassi.org/,Arts Organization,https://artistcommunities.org/directory/residencies/djerassi-resident-artists-program,residencies,open,residency,"Woodside, CA",multidisciplinary,10+
Dorland Mountain Arts,https://www.dorlandmountainarts.org/,Arts Organization,,residencies,open,residency,"Temecula, CA",multidisciplinary,10+
Drawn to the Camino,https://www.drawntothecamino.com/,Arts Organization,,residencies,open,residency,"Santiago de Compostela, Spain","walking, arts",10+
Provincetown Community Compact,https://thecompact.org/dune-shacks.html,Arts Organization,,residencies,open,residency,"Provincetown, MA",multidisciplinary,10+
SPACES,https://www.spacescle.org/,Arts Organization,,residencies,open,residency,"Cleveland, OH",multidisciplinary,10+
Sitka Center for Art and Ecology,https://www.sitkacenter.org/,Arts Organization,,residencies,open,residency,"Otis, OR","art, ecology",2026-05-10 00:00:00
Organization of Biological Field Stations,https://obfs.org/field-stations/art/,Arts Organization,,residencies,open,residency,"Cambridge, MA","art, science",10+
Tyler School of Art,https://tyler.temple.edu/temple-contemporary,Educational Institution,https://artistcommunities.org/directory/residencies/edgar-heap-birds-family-artist-residency,residencies,open,residency,"Philadelphia, PA",multidisciplinary,1.0
Elf School of the Arts,https://elfschoolofthearts.org/,Arts Organization,https://artistcommunities.org/directory/residencies/elf-school-arts-residency,residencies,open,residency,"Hayesville, NC",multidisciplinary,10+
Oak Spring Garden Foundation,https://www.osgf.org/,Foundation,https://artistcommunities.org/directory/residencies/eliza-moore-fellowship-artistic-excellence,residencies,open,"residency, fellowship","Upperville, VA",multidisciplinary,2026-01-05 00:00:00
Collar Works,http://www.collarworks.org/,Arts Organization,https://artistcommunities.org/directory/residencies/elizabeth-murray-artist-residency-collar-works,residencies,open,residency,"Granville, NY",visual arts,2026-05-10 00:00:00
Ellis-Beauregard Foundation,http://ellis-beauregardfoundation.org/,Foundation,https://artistcommunities.org/directory/residencies/ellis-beauregard-foundation-artist-resident-program,residencies,open,residency,"Rockland, ME",visual arts,2026-05-10 00:00:00
Centrum Residency Program,https://centrum.org/,Arts Organization,https://artistcommunities.org/directory/residencies/emerging-artist-and-writers-residency,residencies,open,residency,"Port Townsend, WA",multidisciplinary,2026-05-10 00:00:00
Pilchuck Glass School,https://www.pilchuck.org/,Arts Organization,https://artistcommunities.org/directory/residencies/emerging-artist-residence-program,residencies,open,residency,"Stanwood, WA",glass,6.0
Emmanuel College Artist Residency,https://www.emmanuel.edu/ecar,Educational Institution,https://artistcommunities.org/directory/residencies/emmanuel-college-artist-residence,residencies,open,residency,"Boston, MA",visual arts,4.0
Essere Writer & Artist Residency,https://www.essereresidency.org/,Arts Organization,https://artistcommunities.org/directory/residencies/essere-writer-artist-residency,residencies,open,residency,"Cetona, Italy","visual arts, writing",10+
Ey!Studio,N/A - Page not found,Arts Organization,https://artistcommunities.org/directory/residencies/eystudio-artist-residency,residencies,open,residency,"Madrid, Spain",visual arts,10+
Arteles Creative Center,https://www.arteles.org/,Arts Organization,https://artistcommunities.org/directory/residencies/fall-focus-residency-program-finland,residencies,open,residency,"Hämeenkyrö, Finland",multidisciplinary,10+
Tofte Lake Center,https://toftelake.org/,Arts Organization,https://artistcommunities.org/directory/residencies/family-artist-residency,residencies,open,residency,"Ely, MN",multidisciplinary,2026-05-10 00:00:00
V4L Arts,https://v4larts.com/farwell-cottage-residency,Arts Organization,https://artistcommunities.org/directory/residencies/farwell-cottage-residency,residencies,open,residency,"Hillsboro, VA",multidisciplinary,2026-01-05 00:00:00
Fine Arts Work Center,https://fawc.org/,Arts Organization,https://artistcommunities.org/directory/residencies/fellowship-program,residencies,open,"residency, fellowship","Provincetown, MA","visual arts, writing",10+
Kala Art Institute,http://www.kala.org/,Arts Organization,https://artistcommunities.org/directory/residencies/fellowship-program-0,residencies,open,"residency, fellowship","Berkeley, CA",visual arts,10+
Fine Arts Work Center,https://fawc.org/,Arts Organization,https://artistcommunities.org/directory/residencies/fine-arts-work-center-visual-arts-fellowship,residencies,open,"residency, fellowship","Provincetown, MA",visual arts,10+
Foundation House,http://foundationhousect.org/,Arts Organization,https://artistcommunities.org/directory/residencies/foundation-house-artist-residency-program,residencies,open,residency,"Greenwich, CT",multidisciplinary,2026-05-10 00:00:00
Fountainhead Arts,http://www.fountainheadarts.org/,Arts Organization,https://artistcommunities.org/directory/residencies/fountainhead-residency,residencies,open,residency,"Miami, FL",multidisciplinary,10+
Glass Box Studio | Leigh Yawkey Woodson Art Museum,https://www.lywam.org/,Museum,https://artistcommunities.org/directory/residencies/glass-box-studio,residencies,open,residency,"Wausau, WI",multidisciplinary,2026-05-10 00:00:00
Golden Apple Art Residency,Golden Apple Studio and Golden Apple Art Residency,Arts Organization,Golden Apple Art Residency | Artist Communities Alliance,residencies,open,residency,"Harrington, ME",multidisciplinary,1.0
Golden Spot Residency for Oregon Visual Artists,https://www.sitkacenter.org/,Arts Organization,https://artistcommunities.org/directory/residencies/golden-spot-residency-oregon-visual-artists,residencies,open,residency,"Otis, OR",visual arts,1.0
Good Hart Artist Residency,https://goodhartartistresidency.org/,Arts Organization,https://artistcommunities.org/directory/residencies/good-hart-artist-residency,residencies,open,residency,"Harbor Springs, MI","visual arts, writers, composers",10+
Grabart Art Print Barcelona,https://www.grabart.net/,Arts Organization,https://artistcommunities.org/directory/residencies/grabart-art-print-barcelona,residencies,open,residency,"Barcelona, Spain",printmaking,1.0
Grand Canyon Artist-In-Residence,http://www.grandcanyon.org/,Arts Organization,https://artistcommunities.org/directory/residencies/grand-canyon-artist-residence,residencies,open,residency,"Grand Canyon, AZ",multidisciplinary,1.0
Grand Canyon Astronomer-in-Residence,https://www.grandcanyon.org/,Arts Organization,https://artistcommunities.org/directory/residencies/grand-canyon-astronomer-residence,residencies,open,residency,"Grand Canyon, AZ",astronomy,1.0
Grand Marais Art Colony Residencies,https://grandmaraisartcolony.org/,Arts Organization,https://artistcommunities.org/directory/residencies/grand-marais-art-colony-residencies,residencies,open,residency,"Grand Marais, MN",visual arts,10+
Grant Wood Fellow in Interdisciplinary Performance-Theatre,https://grantwood.uiowa.edu/fellowship/interdisciplinary-performance,Educational Institution,https://artistcommunities.org/directory/residencies/grant-wood-fellow-interdisciplinary-performance-theatre,residencies,open,"residency, fellowship","Iowa City, IA","performance, theatre",1.0
Green Box Artist-In-Residency Program,http://www.greenboxarts.org/,Arts Organization,https://artistcommunities.org/directory/residencies/green-box-artist-residency-program,residencies,open,residency,"Green Mountain Falls, CO",multidisciplinary,10+
"Green Olive Arts Residency in Tetouan, Morocco",http://www.greenolivearts.com/,Arts Organization,https://artistcommunities.org/directory/residencies/green-olive-arts-residency-tetouan-morocco,residencies,open,residency,"Tetouan, Morocco",multidisciplinary,1.0
Grünewald Guild Residency,https://grunewaldguild.com/,Arts Organization,https://artistcommunities.org/directory/residencies/grunewald-guild-residency,residencies,open,residency,"Leavenworth, WA",multidisciplinary,1.0
Guest Artists Space Foundation,https://www.guestartistsspace.com/,Foundation,https://artistcommunities.org/directory/residencies/guest-artists-space-foundation,residencies,invitation,residency,"Oniru, Lagos, Nigeria",multidisciplinary,1.0
Hambidge Creative Residency Program,https://www.hambidge.org/,Arts Organization,https://artistcommunities.org/directory/residencies/hambidge-creative-residency-program,residencies,open,residency,"Rabun Gap, GA",multidisciplinary,10+
Haystack Open Studio Residency,https://www.haystack-mtn.org/,Arts Organization,https://artistcommunities.org/directory/residencies/haystack-open-studio-residency,residencies,open,residency,"Deer Isle, ME",crafts,1.0
Headlands Artist in Residence,https://www.headlands.org/,Arts Organization,https://artistcommunities.org/directory/residencies/headlands-artist-residence,residencies,open,residency,"Sausalito, CA",multidisciplinary,50+
Headwaters Residency,https://headwatersresidency.org/,Arts Organization,https://artistcommunities.org/directory/residencies/headwaters-residency,residencies,open,residency,"Bethlehem, NH","writing, visual arts",10+
