org_name,org_website,org_type,source_link,source_type,access_status,opportunity_types_offered,geographic_focus,mediums_supported,estimated_opp_count,priority,notes,date_extracted
Rijksakademie van beeldende kunsten,http://www.rijksakademie.nl,Residency program,https://resartis.org/listings/,A,open,residencies,Netherlands,"Visual Art, Sculpture, Ceramics, Printmaking, Performing Arts, New Media, Photography",unknown,,listing_url=https://resartis.org/listings/4860/,2026-01-19 00:00:00
Résidence Huit Arles,http://www.galeriehuitarles.com,Residency program,https://resartis.org/listings/,A,open,residencies,France,"Visual Art, Dance, Theatre, Performing Arts, Music, Literature, Film-making, Curatorial, Photography",unknown,,listing_url=https://resartis.org/listings/a-i-r-at-galerie-huit/,2026-01-19 00:00:00
A.I.R. Vallauris,http://www.air-vallauris.org,Residency program,https://resartis.org/listings/,A,open,residencies,France,"Visual Art, Sculpture, Ceramics, Performing Arts, Textile Art, Music, Literature, New Media, Animations, Film-making, Architecture, Education Programmes",unknown,,listing_url=https://resartis.org/listings/a-i-r-vallauris/,2026-01-19 00:00:00
A Position on Retreat Artist Residency,https://apositiononretreat.com,Residency program,https://resartis.org/listings/,A,open,residencies,Canada,"Visual Art, Literature, New Media, Animations, Film-making, Curatorial, Photography",unknown,,listing_url=https://resartis.org/listings/a-position-on-retreat/,2026-01-19 00:00:00
A Sometimes Project Winter Residencies,https://asometimesproject.my.canva.site/residencies,Residency program,https://resartis.org/listings/,A,open,residencies,United-Kingdom,"Visual Art, Literature, New Media",unknown,,listing_url=https://resartis.org/listings/a-sometimes-project/,2026-01-19 00:00:00
A7 Gallery,https://wordpress.org/,Residency program,https://resartis.org/listings/,A,open,residencies,Slovakia,Not specified,unknown,,listing_url=https://resartis.org/listings/a7-gallery/,2026-01-19 00:00:00
AADK Spain / Artistic Residency Program,http://www.aadk.es,Residency program,https://resartis.org/listings/,A,open,residencies,Spain,"Visual Art, Sculpture, Dance, Theatre, Printmaking, Performing Arts, Textile Art, Music, Literature, New Media, Animations, Film-making, Architecture, Photography",unknown,,listing_url=https://resartis.org/listings/aadk-spain/,2026-01-19 00:00:00
AARK Archipelago Art Residency in Korpo,https://aark.fi/,Residency program,https://resartis.org/listings/,A,open,residencies,Finland,"Visual Art, Sculpture, Ceramics, Performing Arts, Textile Art, Music, Literature, Education Programmes, Photography, Other",unknown,,listing_url=https://resartis.org/listings/aark-archipelago-art-residency-in-korpo/,2026-01-19 00:00:00
About Art Residence,https://wordpress.org/,Residency program,https://resartis.org/listings/,A,open,residencies,China,"Visual Art, Sculpture, Theatre, Performing Arts, Music, Literature, Film-making, Photography",unknown,,listing_url=https://resartis.org/listings/about-art-residence/,2026-01-19 00:00:00
ACA Allenheads Contemporary Arts,http://www.acart.org.uk/,Residency program,https://resartis.org/listings/,A,open,residencies,United-Kingdom,"Visual Art, Sculpture, Dance, Theatre, Performing Arts, Music, Literature",unknown,,listing_url=https://resartis.org/listings/aca-allenheads-contemporary-arts/,2026-01-19 00:00:00
At home in Hundorf international artist residency,https://www.acasalahundorf.ro/,Residency program,https://resartis.org/listings/,A,open,residencies,Romania,"Visual Art, Theatre, Performing Arts, Textile Art, Literature, Animations, Film-making, Architecture, Photography",unknown,,listing_url=https://resartis.org/listings/acasa-la-hundorf-at-home-in-hundorf-association/,2026-01-19 00:00:00
RAINBOW ART RESIDENCIES,https://www.rainbowartresidencies.org/,Residency program,https://resartis.org/listings/,A,open,residencies,Spain,"Visual Art, Sculpture, Ceramics, Performing Arts, Architecture, Curatorial, Education Programmes, Photography",unknown,,listing_url=https://resartis.org/listings/aceaa-asociacion-cultural-espacio-arte-y-accion/,2026-01-19 00:00:00
ACENTRICSPACE Artist in Residence,http://www.acentricspace.com/,Residency program,https://resartis.org/listings/,A,open,residencies,China,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Printmaking, Performing Arts, Music, Literature, New Media, Animations, Film-making, Architecture, Curatorial, Education Programmes, Photography",unknown,,listing_url=https://resartis.org/listings/acentricspace/,2026-01-19 00:00:00
Acme,http://www.acme.org.uk,Residency program,https://resartis.org/listings/,A,open,residencies,United-Kingdom,"Visual Art, Sculpture, Ceramics, Printmaking, New Media, Curatorial, Other",unknown,,listing_url=https://resartis.org/listings/acme-studios-international-residencies-programme/,2026-01-19 00:00:00
ARVESTANOTS,http://www.acoss.org,Residency program,https://resartis.org/listings/,A,open,residencies,Armenia,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Performing Arts, Textile Art, Music, Literature",unknown,,listing_url=https://resartis.org/listings/acoss/,2026-01-19 00:00:00
Agency AiR,https://agencyprojects.org/home,Residency program,https://resartis.org/listings/,A,open,residencies,Australia,"Visual Art, Sculpture, Ceramics, Dance, Printmaking, Performing Arts, Textile Art, Literature, New Media, Film-making, Architecture, Curatorial, Education Programmes, Photography",unknown,,listing_url=https://resartis.org/listings/agency/,2026-01-19 00:00:00
"AIR 3331 (Command A, LLC.)",https://residence.3331.jp/en/,Residency program,https://resartis.org/listings/,A,open,residencies,Japan,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Performing Arts, Textile Art, Music, Literature",unknown,,listing_url=https://resartis.org/listings/air-3331-command-a-llc/,2026-01-19 00:00:00
Joana Carmo,http://www.museu0.pt,Residency program,https://resartis.org/listings/,A,open,residencies,Portugal,New Media,unknown,,listing_url=https://resartis.org/listings/air-algarve-museu-zer0/,2026-01-19 00:00:00
AIR le PARC,http://www.airleparc.com,Residency program,https://resartis.org/listings/,A,open,residencies,France,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Printmaking, Performing Arts, Textile Art, Music, Literature, New Media, Animations, Film-making, Architecture, Photography, Other",unknown,,listing_url=https://resartis.org/listings/air-le-parc-project-and-research-centre/,2026-01-19 00:00:00
AIR Network Japan (Teiko Hinuma),https://wordpress.org/,Residency program,https://resartis.org/listings/,A,open,residencies,Japan,Not specified,unknown,,listing_url=https://resartis.org/listings/air-network-japan/,2026-01-19 00:00:00
AiR Sandnes,https://www.facebook.com/AiRSandnes,Residency program,https://resartis.org/listings/,A,open,residencies,Norway,"Visual Art, Sculpture, Printmaking, Performing Arts, Textile Art, New Media, Photography",unknown,,listing_url=https://resartis.org/listings/air-sandnes/,2026-01-19 00:00:00
AIR – ARTIST IN RESIDENCE Lower Austria,http://www.air-noe.at,Residency program,https://resartis.org/listings/,A,open,residencies,Austria,"Visual Art, Music, Literature, New Media, Architecture",unknown,,listing_url=https://resartis.org/listings/air-_nd-artist-in-residence/,2026-01-19 00:00:00
Aisi Residence,http://aisiresidence.org,Residency program,https://resartis.org/listings/,A,open,residencies,Georgia,"Visual Art, Sculpture, Dance, Theatre, Performing Arts, Textile Art, Music, Literature, New Media, Animations, Film-making, Architecture, Curatorial, Education Programmes, Photography, Other",unknown,,listing_url=https://resartis.org/listings/aisi-residence/,2026-01-19 00:00:00
Akademie Schloss Solitude,http://www.akademie-solitude.de,Residency program,https://resartis.org/listings/,A,open,residencies,Germany,"Visual Art, Sculpture, Dance, Theatre, Performing Arts, Textile Art, Music, Literature, New Media, Film-making, Architecture, Curatorial",unknown,,listing_url=https://resartis.org/listings/akademie-schloss-solitude/,2026-01-19 00:00:00
Akaru Residency,https://www.akaruresidency.com/,Residency program,https://resartis.org/listings/,A,open,residencies,Nicaragua,"Visual Art, Ceramics, Dance, Music, Literature, New Media, Photography",unknown,,listing_url=https://resartis.org/listings/akaru-residency/,2026-01-19 00:00:00
Akiyoshidai International Art Village,https://aiav.jp/,Residency program,https://resartis.org/listings/,A,open,residencies,Japan,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Printmaking, Performing Arts, Textile Art, Music, Literature, New Media, Animations, Film-making, Architecture, Education Programmes, Photography",unknown,,listing_url=https://resartis.org/listings/akiyoshidai-international-art-village/,2026-01-19 00:00:00
Artist Residency at the Akureyri Art Museum,http://www.listak.is,Residency program,https://resartis.org/listings/,A,open,residencies,Iceland,Visual Art,unknown,,listing_url=https://resartis.org/listings/akureyri-art-museum-akureyri-municipality/,2026-01-19 00:00:00
Alaska AIR – Bunnell Street Arts Center Artist-in-Residence,https://www.bunnellarts.org/,Residency program,https://resartis.org/listings/,A,open,residencies,United-States,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Printmaking, Performing Arts, Textile Art, Music, Literature, New Media, Film-making, Photography",unknown,,listing_url=https://resartis.org/listings/alaska-air-bunnell-street-arts-center/,2026-01-19 00:00:00
All That We Are,http://allthatweare.org.au,Residency program,https://resartis.org/listings/,A,open,residencies,Australia,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Performing Arts, Music, Literature, New Media, Photography",unknown,,listing_url=https://resartis.org/listings/all-that-we-are-at-1450/,2026-01-19 00:00:00
Allende Arts Residency,http://www.allendearts.space,Residency program,https://resartis.org/listings/,A,open,residencies,Mexico,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Printmaking, Performing Arts, Music, Literature, Animations, Film-making, Architecture, Education Programmes, Photography, Circus",unknown,,listing_url=https://resartis.org/listings/allende-arts-space/,2026-01-19 00:00:00
Artist Communities Alliance,https://wordpress.org/,Residency program,https://resartis.org/listings/,A,open,residencies,Afghanistan,Not specified,unknown,,listing_url=https://resartis.org/listings/alliance-of-artist-communities/,2026-01-19 00:00:00
Sharing Stories,http://www.egomio.eu,Residency program,https://resartis.org/listings/,A,open,residencies,Cyprus,"Visual Art, Sculpture, Dance, Theatre, Performing Arts, Textile Art, Music, Literature",unknown,,listing_url=https://resartis.org/listings/amfidromo-chorotheatro-non-profit-organization/,2026-01-19 00:00:00
Amy Kennedy,http://www.amykennedyceramics.com,Residency program,https://resartis.org/listings/,A,open,residencies,Australia,Not specified,unknown,,listing_url=https://resartis.org/listings/amy-kennedy-individual/,2026-01-19 00:00:00
Island Going,http://www.lanntair.com,Residency program,https://resartis.org/listings/,A,open,residencies,United-Kingdom,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Printmaking, Performing Arts, Textile Art, Music, Literature, New Media, Animations, Film-making, Architecture, Curatorial, Education Programmes, Photography",unknown,,listing_url=https://resartis.org/listings/an-lanntair/,2026-01-19 00:00:00
Anderson Center at Tower View Artist Residency,http://www.andersoncenter.org,Residency program,https://resartis.org/listings/,A,open,residencies,United-States,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Printmaking, Performing Arts, Textile Art, Music, Literature",unknown,,listing_url=https://resartis.org/listings/anderson-center-for-interdisciplinary-studies/,2026-01-19 00:00:00
Anderson Ranch Arts Center,https://www.andersonranch.org/programs/artists-in-residence-program/,Residency program,https://resartis.org/listings/,A,open,residencies,United-States,"Sculpture, Ceramics, Printmaking, New Media, Photography, Other",unknown,,listing_url=https://resartis.org/listings/anderson-ranch-arts-center/,2026-01-19 00:00:00
ANGOLA AIR,http://www.instagram.com/ela_espaco_luanda_arte_angola/,Residency program,https://resartis.org/listings/,A,open,residencies,Angola,"Visual Art, Printmaking, Performing Arts, Textile Art, Curatorial, Education Programmes",unknown,,listing_url=https://resartis.org/listings/angola-air/,2026-01-19 00:00:00
Antares residency,http://www.galleriaantares.fi,Residency program,https://resartis.org/listings/,A,open,residencies,Finland,"Visual Art, Sculpture, Ceramics, Printmaking, Performing Arts, Music, Literature",unknown,,listing_url=https://resartis.org/listings/antares-art-center-taidekeskus-antares/,2026-01-19 00:00:00
Antonia McGuane,http://www.antoniamcguane.com,Residency program,https://resartis.org/listings/,A,open,residencies,Ireland,Not specified,unknown,,listing_url=https://resartis.org/listings/antonia-mcguane/,2026-01-19 00:00:00
"Aomori Contemporary Art Centre, Aomori Public University (ACAC)",https://acac-aomori.jp/,Residency program,https://resartis.org/listings/,A,open,residencies,Japan,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Printmaking, Performing Arts, Textile Art, Music, Literature, New Media, Animations, Film-making, Architecture, Curatorial, Education Programmes, Photography, Other",unknown,,listing_url=https://resartis.org/listings/aomori-contemporary-art-centre-aomori-public-university-acac/,2026-01-19 00:00:00
Apothefinca Writers Residency,http://www.apothefinca.com,Residency program,https://resartis.org/listings/,A,open,residencies,Nicaragua,"Visual Art, Music, Literature, Education Programmes, Circus",unknown,,listing_url=https://resartis.org/listings/apothefinca-arts-centre/,2026-01-19 00:00:00
AqTushetii,http://www.aqtushetii.com,Residency program,https://resartis.org/listings/,A,open,residencies,Georgia,"Visual Art, Sculpture, Ceramics, Textile Art, Music, Literature, Education Programmes, Photography, Other",unknown,,listing_url=https://resartis.org/listings/aqtushetii-residence/,2026-01-19 00:00:00
"Arctic Reflections (2020), Arctic Realities (2021)",http://arcticculturelab.gl,Residency program,https://resartis.org/listings/,A,open,residencies,Greenland,"Visual Art, Music, Literature, Curatorial, Education Programmes, Photography",unknown,,listing_url=https://resartis.org/listings/arctic-culture-lab/,2026-01-19 00:00:00
ARCUS Project,http://www.arcus-project.com,Residency program,https://resartis.org/listings/,A,open,residencies,Japan,Visual Art,unknown,,listing_url=https://resartis.org/listings/arcus-project/,2026-01-19 00:00:00
ARD International Residency,https://ard-art.org,Residency program,https://resartis.org/listings/,A,open,residencies,Egypt,"Visual Art, Sculpture, Ceramics, Printmaking, Textile Art, New Media, Curatorial, Photography, Other",unknown,,listing_url=https://resartis.org/listings/ard-art-institution/,2026-01-19 00:00:00
Pastoral Twilight,https://les-woods.net/en,Residency program,https://resartis.org/listings/,A,open,residencies,Czech-Republic,Visual Art,unknown,,listing_url=https://resartis.org/listings/are-are-events-org-2/,2026-01-19 00:00:00
ARE (Artist Residencies Enschede),http://www.areholland.com,Residency program,https://resartis.org/listings/,A,open,residencies,Netherlands,Visual Art,unknown,,listing_url=https://resartis.org/listings/are-artist-residencies-enschede/,2026-01-19 00:00:00
Argo Studios,https://www.argo-arts.com/,Residency program,https://resartis.org/listings/,A,open,residencies,Greece,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Performing Arts, Textile Art, Music, Literature, New Media, Animations, Film-making, Photography",unknown,,listing_url=https://resartis.org/listings/argo/,2026-01-19 00:00:00
Arroscia Residency,https://arrosciaresidency.org/,Residency program,https://resartis.org/listings/,A,open,residencies,Italy,"Visual Art, Textile Art, Photography",unknown,,listing_url=https://resartis.org/listings/arroscia-residency/,2026-01-19 00:00:00
Alpujarra Artist Residence,https://www.casa3polopos.com/,Residency program,https://resartis.org/listings/,A,open,residencies,Spain,"Visual Art, Sculpture, Ceramics, Theatre, Music, Literature, Film-making, Photography",unknown,,listing_url=https://resartis.org/listings/art-association-of-polopos/,2026-01-19 00:00:00
Art Castle International Artist Residency,https://artcastleinternational.org/,Residency program,https://resartis.org/listings/,A,open,residencies,India,"Visual Art, Dance, Performing Arts, Literature, Photography",unknown,,listing_url=https://resartis.org/listings/art-castle-international/,2026-01-19 00:00:00
Ongoing AIR,https://www.ongoing.jp/en/residence/,Residency program,https://resartis.org/listings/,A,open,residencies,Japan,"Visual Art, Sculpture, Performing Arts, New Media, Film-making",unknown,,listing_url=https://resartis.org/listings/art-center-ongoing-4/,2026-01-19 00:00:00
St. Petersburg Art Residency (SPAR),https://p-10.ru/,Residency program,https://resartis.org/listings/,A,open,residencies,Russia,"Visual Art, Sculpture, Dance, Theatre, Performing Arts, Textile Art, Music, Literature, New Media, Animations, Film-making, Curatorial, Photography, Other",unknown,,listing_url=https://resartis.org/listings/art-center-pushkinskaya-10-st-petersburg-art-residency-spar/,2026-01-19 00:00:00
“Art Commune”” International Artist-in-Residence Program,http://www.acsl.am,Residency program,https://resartis.org/listings/,A,open,residencies,Armenia,"Visual Art, Dance, Performing Arts, Music, Literature, New Media, Film-making, Education Programmes, Photography, Other",unknown,,listing_url=https://resartis.org/listings/art-commune-international-artist-in-residence-program/,2026-01-19 00:00:00
AiR Malakta,http://www.malakta.fi,Residency program,https://resartis.org/listings/,A,open,residencies,Finland,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Printmaking, Performing Arts, Textile Art, Music, Literature, New Media, Animations, Film-making, Architecture, Curatorial, Education Programmes, Photography, Other, Circus",unknown,,listing_url=https://resartis.org/listings/art-in-malakta/,2026-01-19 00:00:00
,https://resartis.org/listings/art-inside-out/,Residency program,https://resartis.org/listings/,A,open,residencies,Not specified,Not specified,unknown,,listing_url=https://resartis.org/listings/art-inside-out/; fetch_error:HTTPError,2026-01-19 00:00:00
Art Print Residence,http://artprintresidence.com/,Residency program,https://resartis.org/listings/,A,open,residencies,Spain,"Visual Art, Printmaking, Literature, Education Programmes",unknown,,listing_url=https://resartis.org/listings/art-print-residence/,2026-01-19 00:00:00
Bulbul Art-Residence,http://bulbul.org.kg/,Residency program,https://resartis.org/listings/,A,open,residencies,Kyrgyzstan,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Printmaking, Performing Arts, Textile Art, Music, Literature, New Media, Animations, Film-making, Architecture, Curatorial, Education Programmes, Photography",unknown,,listing_url=https://resartis.org/listings/art-residence-of-bishkek-school-of-contemporary-art-bulbul/,2026-01-19 00:00:00
Art See Ocean Gallery & Artist residence,http://ArtSeeOcean.com,Residency program,https://resartis.org/listings/,A,open,residencies,Sweden,"Visual Art, Sculpture, Dance, Theatre, Performing Arts, Music, Literature, Film-making, Photography",unknown,,listing_url=https://resartis.org/listings/art-see-ocean-gallery/,2026-01-19 00:00:00
ARTANYWAY,http://www.artanywayresidency.com,Residency program,https://resartis.org/listings/,A,open,residencies,Thailand,"Visual Art, Sculpture, Printmaking, Performing Arts, Photography, Other",unknown,,listing_url=https://resartis.org/listings/artanyway/,2026-01-19 00:00:00
Arte Studio Ginestrelle,http://artestudioginestrelle.wordpress.com,Residency program,https://resartis.org/listings/,A,open,residencies,Italy,"Visual Art, Dance, Theatre, Performing Arts, Textile Art, Music, Literature, New Media, Animations, Film-making, Architecture, Curatorial, Education Programmes",unknown,,listing_url=https://resartis.org/listings/arte-studio-ginestrelle/,2026-01-19 00:00:00
Arteles Creative Center,http://www.arteles.org,Residency program,https://resartis.org/listings/,A,open,residencies,Finland,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Performing Arts, Textile Art, Music, Literature, New Media, Animations, Film-making, Architecture, Curatorial, Education Programmes",unknown,,listing_url=https://resartis.org/listings/arteles-creative-center/,2026-01-19 00:00:00
ARTErra,http://www.arterra.weebly.com,Residency program,https://resartis.org/listings/,A,open,residencies,Portugal,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Performing Arts, Textile Art, Music, Literature",unknown,,listing_url=https://resartis.org/listings/arterra-residencias-rurais-artisticas/,2026-01-19 00:00:00
ArteSumapaz AIR’s,http://www.arteSumapaz.org,Residency program,https://resartis.org/listings/,A,open,residencies,Colombia,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Printmaking, Performing Arts, Textile Art, Music, Literature, Film-making, Architecture, Photography, Circus",unknown,,listing_url=https://resartis.org/listings/artesumapaz/,2026-01-19 00:00:00
arteventura,http://arteventura.eu,Residency program,https://resartis.org/listings/,A,open,residencies,Spain,"Visual Art, Sculpture, Ceramics, Dance",unknown,,listing_url=https://resartis.org/listings/arteventura/,2026-01-19 00:00:00
arthere istanbul,http://www.arthereistanbul.com,Residency program,https://resartis.org/listings/,A,open,residencies,Turkey,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Printmaking, Performing Arts, Music, Literature, New Media",unknown,,listing_url=https://resartis.org/listings/arthere-istanbul/,2026-01-19 00:00:00
arthotelpanorama,http://www.arthotelpanorama.com/residency,Residency program,https://resartis.org/listings/,A,open,residencies,Greece,Literature,unknown,,listing_url=https://resartis.org/listings/arthotelpanorama/,2026-01-19 00:00:00
Artica Svalbard residency,https://www.articasvalbard.no/,Residency program,https://resartis.org/listings/,A,open,residencies,Svalbard-and-Jan-Mayen,"Visual Art, Printmaking, Music, Literature, New Media, Film-making, Photography",unknown,,listing_url=https://resartis.org/listings/artica-svalbard/,2026-01-19 00:00:00
ARTINN JAIPUR CENTER,http://www.artinnjaipur.com,Residency program,https://resartis.org/listings/,A,open,residencies,India,"Visual Art, Ceramics, Dance, Printmaking, Performing Arts, Textile Art, Music, Literature, New Media, Architecture, Curatorial, Education Programmes, Photography, Other",unknown,,listing_url=https://resartis.org/listings/artinn-jaipur-center/,2026-01-19 00:00:00
Artist and Researcher in Residence Guiniguada – Canary Islands,http://www.airguiniguada.org,Residency program,https://resartis.org/listings/,A,open,residencies,Spain,"Visual Art, Sculpture, Dance, Performing Arts, Textile Art, Music, Literature, New Media, Animations, Film-making, Curatorial, Education Programmes",unknown,,listing_url=https://resartis.org/listings/artist-and-researcher-in-residence-guiniguada-canary-islands/,2026-01-19 00:00:00
Air Frosterus,http://airfrosterus.org,Residency program,https://resartis.org/listings/,A,open,residencies,Finland,"Visual Art, Sculpture, Dance, Theatre, Performing Arts, Textile Art, Music, Literature",unknown,,listing_url=https://resartis.org/listings/artist-in-residence-frosterus/,2026-01-19 00:00:00
Taipei Artist Village | Treasure Hill Artist Village,https://www.artistvillage.org/,Residency program,https://resartis.org/listings/,A,open,residencies,Taiwan,"Visual Art, Sculpture, Dance, Theatre, Performing Arts, Textile Art, Music, Literature",unknown,,listing_url=https://resartis.org/listings/artist-in-residencetaipei/,2026-01-19 00:00:00
Artist Residency Thailand,http://www.artistresidencythailand.com,Residency program,https://resartis.org/listings/,A,open,residencies,Thailand,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Printmaking, Performing Arts, Music, Literature, New Media",unknown,,listing_url=https://resartis.org/listings/artist-residency-thailand/,2026-01-19 00:00:00
Artist Retreat in the wilds of Celtic Cornwall,https://www.wendyrolt.co.uk/art-residency/,Residency program,https://resartis.org/listings/,A,open,residencies,United-Kingdom,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Performing Arts, Textile Art, Music, Literature, Film-making, Photography",unknown,,listing_url=https://resartis.org/listings/artist-retreat-in-the-wilds-of-celtic-cornwall/,2026-01-19 00:00:00
Art Catz Residency,https://www.worldpackers.com/positions/85167/details,Residency program,https://resartis.org/listings/,A,open,residencies,Slovenia,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Performing Arts, Textile Art, Music, Literature, New Media, Animations, Film-making, Curatorial, Education Programmes, Photography, Other, Circus",unknown,,listing_url=https://resartis.org/listings/artistic-farm-in-vinica-slovenia/,2026-01-19 00:00:00
Artistic Residency: In process,https://desimelo.wixstudio.com/inprocess/en,Residency program,https://resartis.org/listings/,A,open,residencies,Brazil,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Printmaking, Performing Arts, Music, Literature, New Media, Film-making, Photography, Other",unknown,,listing_url=https://resartis.org/listings/artistic-residency-in-process/,2026-01-19 00:00:00
"Four residencies: Aurinko, Niitty, Maa and Taika",https://www.taideniitty.fi/en,Residency program,https://resartis.org/listings/,A,open,residencies,Finland,"Visual Art, Printmaking, Music, Literature",unknown,,listing_url=https://resartis.org/listings/artists-house-taideniitty/,2026-01-19 00:00:00
ARTS ITOYA,https://artsitoya.com,Residency program,https://resartis.org/listings/,A,open,residencies,Japan,"Visual Art, Sculpture, Ceramics, Dance, Literature",unknown,,listing_url=https://resartis.org/listings/arts-itoya/,2026-01-19 00:00:00
Arts Letters & Numbers,http://www.artslettersandnumbers.com,Residency program,https://resartis.org/listings/,A,open,residencies,United-States,"Visual Art, Sculpture, Dance, Theatre, Performing Arts, Textile Art, Music, Literature, New Media, Film-making, Architecture, Photography, Other",unknown,,listing_url=https://resartis.org/listings/arts-letters-numbers/,2026-01-19 00:00:00
ArtsIceland,http://www.kolsalt.is,Residency program,https://resartis.org/listings/,A,open,residencies,Iceland,"Visual Art, Sculpture, Dance, Performing Arts, Textile Art, Music, Literature, New Media, Animations, Architecture, Curatorial, Photography",unknown,,listing_url=https://resartis.org/listings/artsiceland/,2026-01-19 00:00:00
Horanggasy Creative Studio,https://www.horang.art/,Residency program,https://resartis.org/listings/,A,open,residencies,South-Korea,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Printmaking, Performing Arts, Textile Art, Music, Literature, New Media, Animations, Film-making, Architecture, Curatorial, Education Programmes, Photography, Other",unknown,,listing_url=https://resartis.org/listings/artzoo/,2026-01-19 00:00:00
ACUR Residency Program,http://xac.gencat.cat/ca/llista_arxius_comarcals/urgell/detall/Nou-article-02393,Residency program,https://resartis.org/listings/,A,open,residencies,Spain,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Performing Arts, Textile Art, Music, Literature",unknown,,listing_url=https://resartis.org/listings/arxiu-comarcal-de-l_neurgell-acur/,2026-01-19 00:00:00
Asia Culture Center Residency,https://www.acc.go.kr/en,Residency program,https://resartis.org/listings/,A,open,residencies,South-Korea,"Visual Art, Sculpture, Ceramics, Dance, Theatre, Performing Arts, Textile Art, Music, New Media, Film-making, Architecture, Curatorial, Photography, Other",unknown,,listing_url=https://resartis.org/listings/asian-culture-center-acc_rsidency/,2026-01-19 00:00:00
