org_name,org_website,org_type,source_link,source_type,access_status,opportunity_types_offered,geographic_focus,mediums_supported,estimated_opp_count,priority,notes,date_extracted
Fire Island Artist Residency,https://www.fireislandartistresidency.org/apply,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling Cherry Grove, NY Fire Island Artist Residency Fire Island Artist Residency (FIAR), the first residency in the United States exclusively for artists identifying as lesbian, gay, bisex",2026-01-19 00:00:00
Kala Fellowship Program,https://www.kala.org/residencies/fellowship-program/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling $25 Fee Kala Fellowship Program Kala Fellowship is an artist residency for international, national, and local artists producing innovative work in and across multiple media. For over",2026-01-19 00:00:00
Guggenheim Fellowship,https://www.gf.org/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,listing_text=Deadline: Rolling Guggenheim Fellowship The John Simon Guggenheim Memorial Foundation offers fellowships to exceptional individuals in pursuit of scholarship in any field of knowledge and creation in,2026-01-19 00:00:00
The Studios at MASS MoCA Residencies,https://massmoca.org/studios/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling North Adams, MA The Studios at MASS MoCA Residencies The Studios at MASS MoCA runs year-round, hosts up to 10 artists at a time for stays of 2 or 4 weeks, and primarily seeks applica",2026-01-19 00:00:00
CERF+ Emergency Relief Grants,https://cerfplus.org/grants/emergency-relief/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling CERF+ Emergency Relief Grants Emergency financial assistance for U.S. craft artists following a recent, career-threatening emergency or disaster.",2026-01-19 00:00:00
The Cloud House Residency,https://www.thecloudhouse.org/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling Minneapolis, MN The Cloud House Residency The Cloud House Residency was established by Dreamsong co-founders to nurture meaningful connections between visiting artists, writers and c",2026-01-19 00:00:00
South Arts Artist Creative Practice Grant,https://www.southarts.org/grants-opportunities/artist-creative-practice,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,listing_text=Deadline: Rolling South Arts Artist Creative Practice Grant South Arts offers Artist Creative Practice Grants to ensure that artists from our region can take advantage of a variety of career enhancing,2026-01-19 00:00:00
The Clemente Discounted Rehearsal Space Program,https://www.theclementecenter.org/rehearsal-space-rentals,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling The Clemente Discounted Rehearsal Space Program Designed to support BIPOC artists and performing arts organizations from underserved and under-resourced communities, this program off",2026-01-19 00:00:00
Steel Yard Micro-Residencies,https://www.thesteelyard.org/micro-residencies/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,listing_text=Deadline: Rolling Steel Yard Micro-Residencies This residency focuses on helping artists grow and strengthen their creative industrial art practice with flexible time commitments of one to three month,2026-01-19 00:00:00
Pollock-Krasner Foundation Grants,https://pkf.org/our-grants/#pollock-krasner-foundation-grant,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling Pollock-Krasner Foundation Grants The Foundation welcomes applications from visual artists who are painters, sculptors, and artists who work on paper, including printmakers. Grants a",2026-01-19 00:00:00
Musicians Foundation Grants,https://www.musiciansfoundation.org/apply,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling Musicians Foundation Grants An application for one-time financial assistance is open to professional musicians across all genres. You must be a professional music performer, composer",2026-01-19 00:00:00
ART14 Residency,https://www.lastudio.org/art14-residency/residency,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling Residency Fees Apply ART14 Residency The ART14 Residency exists in conjunction with the L.a. Studio community’s art outreach and programming. During their stay, artists’ objectives a",2026-01-19 00:00:00
Innovate Artist Grants,https://innovateartistgrants.org/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling Innovate Artist Grants Innovate Grant distributes two $1,800 grants each quarter, to one visual artist and one photographer. In addition, 12 honorable mentions (six in art and six in",2026-01-19 00:00:00
Indigo Arts Alliance Mentorship Residency Program,https://indigoartsalliance.me/mentorship-residency-program/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling Indigo Arts Alliance Mentorship Residency Program This program brings together artists from diverse backgrounds of the African Diaspora to engage in their creative process, while bui",2026-01-19 00:00:00
Gottlieb Foundation Emergency Grants,https://www.gottliebfoundation.org/emergency-grant,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling Gottlieb Foundation Emergency Grants The Adolph and Esther Gottlieb Emergency Grant program provides interim financial assistance to qualified painters, printmakers, and sculptors wh",2026-01-19 00:00:00
Foundation for Contemporary Arts Emergency Grants,https://www.foundationforcontemporaryarts.org/grants/emergency-grants/guidelines/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling Foundation for Contemporary Arts Emergency Grants Emergency Grants is the only active, multidisciplinary program that offers immediate, project-based assistance of this kind to artis",2026-01-19 00:00:00
Arts in California Parks Artist Directory,https://caparks-artist-directory.glide.page/dl/d0a5f4,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,listing_text=Deadline: Rolling Arts in California Parks Artist Directory The California Department of Parks and Recreation invites artists interested in creating public art in California State and/or local parks t,2026-01-19 00:00:00
Stochastic Labs Residencies,https://stochasticlabs.org/residencies/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling Stochastic Labs Residencies Stochastic Labs awards fully-sponsored residencies to exceptional engineers, artists, scientists, and entrepreneurs from around the world. Residencies are",2026-01-19 00:00:00
The Awesome Foundation Grants,https://www.awesomefoundation.org/en,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling The Awesome Foundation Grants The Awesome Foundation is a global community advancing the interest of awesome in the universe, $1,000 at a time. Each fully autonomous chapter supports",2026-01-19 00:00:00
Adobe Creative Residency Community Fund,https://www.adobe.com/about-adobe/creative-residency/community-fund.html,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: Rolling Adobe Creative Residency Community Fund The Adobe Creative Residency Community Fund provides support to creators during times of extraordinary hardship. If selected, you will receive",2026-01-19 00:00:00
PhMuseum 2026 Photography Grant,https://phmuseum.com/grants/2026-photography-grant,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: January 19, 2026 PhMuseum 2026 Photography Grant The PhMuseum Photography Grant is an annual initiative and leading photography prize that recognises the importance of photography and visual",2026-01-19 00:00:00
"Public Art Opportunity Submission – NJPAC Stories in Sound, Movement, and Community",https://www.njpac.org/publicart/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: January 19, 2026 Public Art Opportunity Submission – NJPAC Stories in Sound, Movement, and Community The New Jersey Performing Arts Center (NJPAC) has launched a public art initiative to com",2026-01-19 00:00:00
The Conjunctions Residency,https://conjunctions.com/announcement/the-conjunctions-residency/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: January 20, 2026 New York The Conjunctions Residency Conjunctions is proud to announce a new three-week writer’s residency under the auspices of the recently established Conjunctions Foundat",2026-01-19 00:00:00
McLean Project for the Arts: Spring Solos,https://mpa.submittable.com/submit/342529/spring-solos-exhibition-proposal-2026-2027,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: January 20, 2026 McLean Project for the Arts: Spring Solos McLean Project for the Arts is seeking solo exhibition proposals for the Spring of 2026/ 2027. Contemporary living artists working ",2026-01-19 00:00:00
The Nice Art Grant,https://www.midwestnice.art/opencalls/niceartgrant,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: January 20, 2026 The Nice Art Grant Nice Grant is an unrestricted grant of $500 that supports emerging and mid-career artists. This annual grant is due January 20; each cycle, at least two a",2026-01-19 00:00:00
2026 Mountain Plains Contemporary Art Biennial,https://www.salinaartcenter.org/call-for-artists,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: January 20, 2026 $35 Entry Fee 2026 Mountain Plains Contemporary Art Biennial The Salina Art Center invites submissions for the 2026 Mountain Plains Contemporary Art Biennial, a juried exhib",2026-01-19 00:00:00
WORTHLESSSTUDIOS Photographer in Residence,https://worthlessstudios.org/photographer-in-residence,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: January 20, 2026 WORTHLESSSTUDIOS Photographer in Residence The Photographer in Residence program is a one-month-long photography residency taking place inside an Airstream trailer converted",2026-01-19 00:00:00
CUNY Dance Initiative,https://www1.cuny.edu/sites/dance-initiative/apply/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: January 20, 2026 CUNY Dance Initiative The CUNY Dance Initiative invites New York City choreographers and dance companies to apply for 2026-27 residencies. Integrating the dance community wi",2026-01-19 00:00:00
Flynn Breakthrough: Open Call for Performances for Public Spaces,https://www.flynnvt.org/Community/flynn-breakthrough,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: January 23, 2026 Flynn Breakthrough: Open Call for Performances for Public Spaces The Flynn is seeking artists and organizations across the U.S. to create bold new performances for public sp",2026-01-19 00:00:00
Call for Art – THE BIG CHILL,https://art-fluent.com/calls-for-art/the-big-chill-prospectus/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: January 23, 2026 $25 Fee Call for Art – THE BIG CHILL Art Fluent invites artists worldwide to submit artwork to their online exhibit, THE BIG CHILL.",2026-01-19 00:00:00
Center for Creative Photography Fellowships,https://ccp.arizona.edu/research/fellowships/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: January 26, 2026 Tucson, AZ Center for Creative Photography Fellowships The CCP Fellowship program particularly encourages applicants who can bring new and critical approaches to the Center’",2026-01-19 00:00:00
The NYSCA/NYFA Artist Fellowship,https://www.nyfa.org/awards-grants/nysca-nyfa-artist-fellowship/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: January 27, 2026 The NYSCA/NYFA Artist Fellowship The NYSCA/NYFA Artist Fellowship is an $8,000 unrestricted cash grant available to artists living in New York State and/or one of the Tribal",2026-01-19 00:00:00
Haystack Open Studio Residency 2026,https://www.haystack-mtn.org/open-studio-residency,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: January 30, 2026 Deer Isle, Maine Haystack Open Studio Residency 2026 An independent committee of artists reviews applications to the highly competitive Open Studio Residency, and both natio",2026-01-19 00:00:00
Evolving Freedoms Open Call — Maguire Art Museum,https://www.sju.edu/maguire-art-museum/exhibitions/evolving-freedoms,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: January 30, 2026 Maguire Art Museum, Philadelphia Evolving Freedoms Open Call — Maguire Art Museum The Maguire Art Museum at Saint Joseph's University's Evolving Freedoms: Exploring Life, Li",2026-01-19 00:00:00
Blu Sky Artist Award,https://tenmoirgallery.com/blu-sky-emerging-artist-award/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: January 31, 2026 Early bird entry is $25, regular entry is $35 Blu Sky Artist Award Prestige and recognition await. The Blu Sky Artist Award honors two outstanding artists each round. One in",2026-01-19 00:00:00
36 Views of Mauna Loa,https://36viewsofmaunaloa.artcall.org/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: January 31, 2026 Hawaii 36 Views of Mauna Loa Inspired by Hokusai's renowned 36 Views of Mount Fuji—a series not actually about Mount Fuji, but about the essence of Japan—this exhibition goe",2026-01-19 00:00:00
ACNMWA accepting Artist Award,https://acnmwa.org/learn/news/acnmwa-accepting-artist-award-applications-through-january-31,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: January 31, 2026 Arkansas ACNMWA accepting Artist Award The Arkansas Committee of the National Museum of Women in the Arts (ACNMWA) is accepting applications from Arkansas women who are visu",2026-01-19 00:00:00
Barbara Deming Memorial Fund: Money for Women,https://www.demingfund.org/apply,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: January 31, 2026 Barbara Deming Memorial Fund: Money for Women The Fund makes small artist support grants ( $500 – $1500 ) to individual feminist women in the arts who are citizens with prim",2026-01-19 00:00:00
The Hatchery: New Works Development for Nontraditional Theatermakers,https://www.manyhatscollaboration.org/thehatchery,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: January 31, 2026 Portland, OR The Hatchery: New Works Development for Nontraditional Theatermakers Now in its third year, The Hatchery is a new works development program and festival in down",2026-01-19 00:00:00
HAHA 2026 – Immersive Installation Opportunity,https://artist.callforentry.org/festivals_unique_info.php?ID=16254,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: January 31, 2026 $10 Fee HAHA 2026 – Immersive Installation Opportunity The Ah Haa School for the Arts annual summer fundraiser, the Ah Haa HAHA is a participatory and interactive community ",2026-01-19 00:00:00
Rijksakademie Residency 2027,https://www.rijksakademie.nl/en/residency-apply/apply,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: February 1, 2026 Amsterdam, Netherlands Rijksakademie Residency 2027 The Rijksakademie welcomes artists to develop their work over a one or two-year period in Amsterdam, starting from Januar",2026-01-19 00:00:00
The Stifel Artist Residency 2026,https://artist.callforentry.org/festivals_unique_info.php?ID=16463,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: February 1, 2026 Wheeling, West Virginia The Stifel Artist Residency 2026 Oglebay Institute is seeking established and up and coming artists to inspire, collaborate, and share their talents ",2026-01-19 00:00:00
2026 Summer Residency at Watershed Center for the Ceramic Arts,https://www.watershedceramics.org/residencies/summer-residency/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: February 1, 2026 Edgecomb, Maine 2026 Summer Residency at Watershed Center for the Ceramic Arts Organized around specific themes, each two-week session brings together a small cohort of cera",2026-01-19 00:00:00
Black & White 2026 Art Competition,https://www.fusionartps.com/black-and-white-2026-art-competition/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: February 1, 2026 Entry fee of $25 for 1-2 images Black & White 2026 Art Competition Fusion Art invites submissions for the 9th Annual Black & White Art Competition for an online exhibition d",2026-01-19 00:00:00
PAPER : OF & ON,http://galleries.nmhu.edu/call-to-artists/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: February 1, 2026 PAPER : OF & ON Artist living in the U.S. who are using paper as a primary medium, or as a substrate. All entries to PAPER : OF & ON exhibition must be the original work of ",2026-01-19 00:00:00
Houston Center for Contemporary Craft – Artist Residency,https://crafthouston.org/artist-residency/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: February 1, 2026 Houston Center for Contemporary Craft – Artist Residency The Artist Residency Program is designed to offer time and space for craft artists to focus on their creative work a",2026-01-19 00:00:00
Blue Mountain Center Residencies 2026,https://www.bluemountaincenter.org/programs,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: February 1, 2026 $25 Fee Blue Mountain Center Residencies 2026 During the summer and early fall, BMC offers month-long residency sessions. These sessions are open to creative and non-fiction",2026-01-19 00:00:00
Hupstate Circus Artist Residency,https://www.hupstatecircus.org/residency-info,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: February 1, 2026 Hupstate Circus Artist Residency The Saltonstall x Circus Culture Hupstate Residency for Individual Circus Artists provides an all expenses paid week long opportunity to cre",2026-01-19 00:00:00
2026 Princess Grace Foundation USA Grants & Awards,https://pgfusa.org/apply/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: February 2, 2026 2026 Princess Grace Foundation USA Grants & Awards The Princess Grace Foundation-USA is dedicated to upholding the legacy of Her Serene Highness Princess Grace of Monaco, (n",2026-01-19 00:00:00
New America Fellows,https://www.newamerica.org/fellows/about/how-to-apply/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: February 2, 2026 Washington, DC 20005 New America Fellows New America’s Fellows Program invests in thinkers—investigative journalists, scholars, filmmakers, public policy analysts, and other",2026-01-19 00:00:00
Spencer Fellowship at Columbia J-School,https://spencerfellows.org/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: February 3, 2026 Spencer Fellowship at Columbia J-School The Spencer Fellowship is a tremendous opportunity -- $85,000 + travel budget + full access to Columbia for 10 months to pursue a sig",2026-01-19 00:00:00
2026 Art Seen Festival,https://www.midlandfoundation.org/artseen26/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: February 5, 2026 Michigan 2026 Art Seen Festival The Art Seen Festival is seeking talented, family-friendly muralists from across the Great Lakes Bay Region to submit their portfolios and he",2026-01-19 00:00:00
"Sloss Metal Arts, Visiting Artist in Residence",https://www.slossmetalarts.com/var,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: February 6, 2026 Birmingham, Alabama Sloss Metal Arts, Visiting Artist in Residence Sloss Furnaces Foundation hosts several 8-week Visiting Artists throughout the year, typically in the Summ",2026-01-19 00:00:00
21st Annual ArtWalk Liberty Station 2026,https://www.artwalksandiego.org/libertystation/artist-application/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: February 6, 2026 $30 Fee 21st Annual ArtWalk Liberty Station 2026 The 21st Annual ArtWalk Liberty Station takes place in a beautiful park setting in San Diego's premier arts and culture dist",2026-01-19 00:00:00
Fine Arts Work Center – Visual Arts Fellowship (Provincetown),https://fawc.slideroom.com/#/login/program/86205,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: February 6, 2026 $65 Fee Fine Arts Work Center – Visual Arts Fellowship (Provincetown) The Fine Arts Work Center in Provincetown has supported emerging writers and artists for over 50 years,",2026-01-19 00:00:00
Open Call for Brooks International Fellowship Programme 2026,https://www.delfinafoundation.com/open-calls/current/open-call-for-brooks-international-fellowship-programme-2025/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: February 8, 2026 Delfina Foundation, London Open Call for Brooks International Fellowship Programme 2026 The Brooks International Fellowship Programme at Tate and Delfina Foundation is an an",2026-01-19 00:00:00
2026 Claybash Exhibition: Call for Entries,https://www.hunterdonartmuseum.org/exhibitions/2026-claybash-exhibition-call-for-entries/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: February 9, 2026 $45 for up to four entries 2026 Claybash Exhibition: Call for Entries The Hunterdon Art Museum is pleased to announce our second Triennial Juried Exhibition of Ceramics, Cla",2026-01-19 00:00:00
Mother’s Milk International Artist Residency,https://www.mothersmilkart.com/,,https://creative-capital.org/artist-resources/artist-opportunities/,C,open,,Not specified,Not specified,unknown,,"listing_text=Deadline: February 10, 2026 Newton, Kansas Mother’s Milk International Artist Residency Mother’s Milk is a 2-6 week interdisciplinary residency, designed to support three or four visual artists, sound",2026-01-19 00:00:00
