org_name,org_website,org_type,source_link,source_type,access_status,opportunity_types_offered,geographic_focus,mediums_supported,estimated_opp_count,priority,notes,date_extracted
Wellcome Trust,https://wellcome.org/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,Global,research,10+,High,Research funding,2026-01-16 00:00:00
Wakelin Award,https://www.glynnvivian.co.uk/,Museum,https://www.artistsfuturesfund.org/funding-directory,A,open,awards,Wales,multidisciplinary,1.0,Low,Welsh artists,2026-01-16 00:00:00
Shape Arts Adam Reynolds Award,https://www.shapearts.org.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,awards,UK,multidisciplinary,1.0,Medium,Disabled makers,2026-01-16 00:00:00
Unlimited,https://weareunlimited.org.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,"England, Wales, Scotland",multidisciplinary,2026-05-10 00:00:00,High,Disabled makers,2026-01-16 00:00:00
University of Atypical Northern Ireland,https://craftni.org/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,Northern Ireland,multidisciplinary,1.0,Medium,D/deaf and disabled artists,2026-01-16 00:00:00
Jerwood Arts,https://jerwoodarts.org/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,UK,multidisciplinary,2026-02-05 00:00:00,High,Disadvantaged backgrounds,2026-01-16 00:00:00
The Supporting Act Foundation,https://thesupportingact.org/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,UK,multidisciplinary,1.0,Medium,Disadvantaged backgrounds,2026-01-16 00:00:00
Outside In,https://outsidein.org.uk/,Platform,https://www.artistsfuturesfund.org/funding-directory,A,open,platform,UK,multidisciplinary,1.0,Medium,Platform for artists from disadvantaged backgrounds,2026-01-16 00:00:00
Thomas Wall Trust,https://www.thomaswalltrust.org.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,UK,multidisciplinary,1.0,Medium,Disadvantaged backgrounds,2026-01-16 00:00:00
The White Pube Creatives Grant,https://thewhitepube.co.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,UK,multidisciplinary,1.0,Medium,Creatives grant,2026-01-16 00:00:00
Creative Debuts Black Artists Grant,https://creativedebuts.co.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,UK,multidisciplinary,1.0,Medium,Black artists,2026-01-16 00:00:00
Grand Plan Fund,https://www.grandplanfund.co.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,UK,multidisciplinary,1.0,Medium,Artists of colour,2026-01-16 00:00:00
We Are Here Scotland,https://www.weareherescotland.com/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,Scotland,multidisciplinary,1.0,Medium,Artists of colour,2026-01-16 00:00:00
The Samuel Ross Black British Artist Grant,https://community.samuel-ross.com/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,UK,multidisciplinary,1.0,Medium,Black British artists,2026-01-16 00:00:00
Heritage Crafts Training Bursary,https://heritagecrafts.org.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,UK,craft,1.0,Medium,Black and ethnically diverse makers,2026-01-16 00:00:00
ArtOpps,https://artopps.co.uk/,Platform,https://www.artistsfuturesfund.org/funding-directory,A,open,listing service,Global,multidisciplinary,unknown,Medium,Opportunities for artists,2026-01-16 00:00:00
Arts Jobs,https://www.artsjobs.org.uk/,Platform,https://www.artistsfuturesfund.org/funding-directory,A,open,listing service,UK,multidisciplinary,unknown,Medium,"Events, fellowships listings",2026-01-16 00:00:00
Arts Admin Anchor,https://www.artsadmin.co.uk/,Platform,https://www.artistsfuturesfund.org/funding-directory,A,open,listing service,UK,multidisciplinary,unknown,Medium,Opportunities for artists,2026-01-16 00:00:00
ACAVA Resources,https://www.acava.org/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,resources,UK,multidisciplinary,unknown,Low,Resources for artists,2026-01-16 00:00:00
Artist Run Alliance,https://artistrunalliance.org/,Platform,https://www.artistsfuturesfund.org/funding-directory,A,open,initiatives,Global,multidisciplinary,unknown,Low,Initiatives,2026-01-16 00:00:00
Artquest,https://www.artquest.org.uk/,Platform,https://www.artistsfuturesfund.org/funding-directory,A,open,listing service,UK,multidisciplinary,unknown,High,Opportunities for artists,2026-01-16 00:00:00
Grants Online,https://www.grantsonline.org.uk/,Platform,https://www.artistsfuturesfund.org/funding-directory,A,open,listing service,UK,multidisciplinary,unknown,Medium,General grants,2026-01-16 00:00:00
The Heritage Funding Directory,https://www.heritagefundingdirectoryuk.org/,Platform,https://www.artistsfuturesfund.org/funding-directory,A,open,listing service,UK,heritage,unknown,Medium,Heritage projects funding,2026-01-16 00:00:00
ICON,https://www.icon.org.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,UK,conservation,2026-02-05 00:00:00,Low,Conservators opportunities,2026-01-16 00:00:00
The Prince's Trust,https://www.princes-trust.org.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,grants,UK,multidisciplinary,2026-05-10 00:00:00,Medium,Young people age 16-30,2026-01-16 00:00:00
Small Business,https://smallbusiness.co.uk/,Platform,https://www.artistsfuturesfund.org/funding-directory,A,open,listing service,UK,business,unknown,Low,Small business grants,2026-01-16 00:00:00
Starving Artists,https://www.instagram.com/starvingartistsopportunities/,Platform,https://www.artistsfuturesfund.org/funding-directory,F,open,listing service,Global,multidisciplinary,unknown,Low,Opportunities for artists on Instagram,2026-01-16 00:00:00
Turn2us,https://grants-search.turn2us.org.uk/,Platform,https://www.artistsfuturesfund.org/funding-directory,A,open,listing service,UK,multidisciplinary,unknown,Medium,General grants search,2026-01-16 00:00:00
The Creative Dimension Trust,https://www.thecreativedimension.org/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,education,UK,craft,2026-02-05 00:00:00,Low,Free craft workshops for young people,2026-01-16 00:00:00
Paul Mellon Centre,https://www.paul-mellon-centre.ac.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,"grants, fellowships",UK,research,2026-05-10 00:00:00,Medium,British arts and architectural history research,2026-01-16 00:00:00
The Scholarship Hub,https://www.thescholarshiphub.org.uk/,Platform,https://www.artistsfuturesfund.org/funding-directory,A,open,listing service,UK,multidisciplinary,unknown,Low,University funding search tool,2026-01-16 00:00:00
Artistate,https://www.artistate.co.uk/,Foundation,https://www.artistsfuturesfund.org/funding-directory,A,open,resources,UK,multidisciplinary,unknown,Low,Legacy planning and artists estates advice,2026-01-16 00:00:00
a-n The Artists Information Company,https://www.a-n.co.uk/,Platform,https://www.artistsfuturesfund.org/funding-directory,A,open,resources,UK,multidisciplinary,unknown,Medium,Practical advice for artists,2026-01-16 00:00:00
