https://www.proyectoace.org/en/residencies/production-residencies/,org_website,org_type,source_link,source_type,access_status,opportunity_types_offered,geographic_focus,mediums_supported,estimated_opp_count,priority,notes,date_extracted
New Writing North,https://newwritingnorth.com,Arts Organization,https://fundsforwriters.com/grants/,A,open,paid opportunities,"Northeast England, UK",literary arts,2026-01-05 00:00:00,Medium,£125/session for North East Novelists group facilitators,2026-01-16 00:00:00
Georgia Writers Association,https://www.georgiawriters.org,Professional Organization,https://fundsforwriters.com/grants/,A,open,"grants, rosters","Georgia, USA",literary arts,2026-05-10 00:00:00,Medium,"Georgia Writers Registry, LEGG grants $50-$250 for literary events",2026-01-16 00:00:00
Ohio Arts Council,https://oac.ohio.gov,Arts Council,https://fundsforwriters.com/grants/,A,open,grants,"Ohio, USA",multidisciplinary,2026-05-10 00:00:00,High,Artists with Disabilities Access Program $500-$2500,2026-01-16 00:00:00
BlueDot Living,https://bluedotliving.com,Media Organization,https://fundsforwriters.com/grants/,A,open,paid assignments,USA,"journalism, environmental",2026-01-05 00:00:00,Medium,"Pays $175-750 for climate solutions stories, dispatches",2026-01-16 00:00:00
Fatherly,https://www.fatherly.com,Media Organization,https://fundsforwriters.com/grants/,A,open,paid assignments,USA,journalism,2026-01-05 00:00:00,Medium,Pays $250-300 for parenting/fitness science journalism,2026-01-16 00:00:00
Atmos,https://atmos.earth,Magazine,https://fundsforwriters.com/grants/,A,open,paid assignments,USA,"journalism, environmental",2026-01-05 00:00:00,Medium,50 cents/word for climate and culture intersection stories,2026-01-16 00:00:00
Massachusetts Local Cultural Council,https://massculturalcouncil.org,Arts Council,https://fundsforwriters.com/grants/,A,open,grants,"Massachusetts, USA",multidisciplinary,10+,High,Largest grassroots cultural funding network in nation,2026-01-16 00:00:00
Boston Foundation,https://www.tbf.org,Foundation,https://fundsforwriters.com/grants/,A,open,grants,"Massachusetts, USA",multidisciplinary,2026-05-10 00:00:00,High,"Brother Thomas Fellowship $15000, biennial",2026-01-16 00:00:00
Writer's Digest,https://www.writersdigest.com/,Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,literary arts,10+,High,"Major contests including Annual Writing Competition, Popular Fiction Awards, Short Short Story Competition, Poetry Awards",2026-01-16 00:00:00
Glimmer Train,https://www.glimmertrain.com/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,"literary arts, fiction",2026-05-10 00:00:00,High,"Short Story Award for New Writers, Fiction Open, Very Short Fiction Contest",2026-01-16 00:00:00
Ploughshares,https://www.pshares.org/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,literary arts,2026-01-05 00:00:00,Medium,Emerging Writer's Contest,2026-01-16 00:00:00
Poetry Magazine,https://www.poetryfoundation.org/poetrymagazine,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,poetry,2026-01-05 00:00:00,High,Ruth Lilly and Dorothy Sargent Rosenberg Poetry Fellowships,2026-01-16 00:00:00
Missouri Review,https://www.missourireview.com/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,literary arts,2026-05-10 00:00:00,Medium,"Jeffrey E. Smith Editors' Prize, Miller Audio Prize, Tom McAfee Discovery Feature",2026-01-16 00:00:00
The Southern Review,https://thesouthernreview.org/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,literary arts,2026-01-05 00:00:00,Medium,Annual contests in poetry and prose,2026-01-16 00:00:00
Tin House,https://tinhouse.com/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,literary arts,2026-01-05 00:00:00,Medium,Annual contests,2026-01-16 00:00:00
Narrative Magazine,https://www.narrativemagazine.com/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,International,literary arts,10+,High,"Multiple contests throughout year including Story Contest, Poetry Contest, 30 Below Contest",2026-01-16 00:00:00
The Paris Review,https://www.theparisreview.org/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,International,literary arts,2026-01-05 00:00:00,High,"Plimpton Prize for Fiction, Bernard F. Conners Prize for Poetry",2026-01-16 00:00:00
One Story,https://www.one-story.com/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,fiction,2026-01-05 00:00:00,Medium,One Story Award,2026-01-16 00:00:00
New Letters,https://www.newletters.org/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,literary arts,2026-01-05 00:00:00,Medium,Literary Awards,2026-01-16 00:00:00
The Sun Magazine,https://www.thesunmagazine.org/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,literary arts,2026-01-05 00:00:00,Medium,Annual contests,2026-01-16 00:00:00
Cutbank Literary Magazine,https://www.cutbankonline.org/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,literary arts,2026-01-05 00:00:00,Medium,Montana Prize in Fiction and Poetry,2026-01-16 00:00:00
Black Warrior Review,https://bwr.ua.edu/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,literary arts,2026-01-05 00:00:00,Medium,Annual contests,2026-01-16 00:00:00
Crab Orchard Review,https://craborchardreview.siu.edu/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,literary arts,2026-01-05 00:00:00,Medium,Literary Awards,2026-01-16 00:00:00
Nimrod International Journal,https://nimrod.utulsa.edu/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,International,literary arts,2026-01-05 00:00:00,Medium,"Katherine Anne Porter Prize for Fiction, Pablo Neruda Prize for Poetry",2026-01-16 00:00:00
Passages North,https://passagesnorth.com/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,literary arts,2026-01-05 00:00:00,Medium,"Waasnode Fiction Prize, Neutrino Prize for Short Fiction",2026-01-16 00:00:00
The Malahat Review,https://malahatreview.ca/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,Canada,literary arts,2026-05-10 00:00:00,Medium,"Multiple contests including Novella Prize, Far Horizons Award, Open Season Awards",2026-01-16 00:00:00
Gettysburg Review,https://www.gettysburgreview.com/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,literary arts,2026-01-05 00:00:00,Medium,Annual contests,2026-01-16 00:00:00
Colorado Review,https://coloradoreview.colostate.edu/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,literary arts,2026-01-05 00:00:00,Medium,"Contests in fiction, poetry, and nonfiction",2026-01-16 00:00:00
Prairie Schooner,https://prairieschooner.unl.edu/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,literary arts,2026-05-10 00:00:00,Medium,Multiple book prizes and contests,2026-01-16 00:00:00
The Iowa Review,https://iowareview.org/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,literary arts,2026-01-05 00:00:00,Medium,Annual Awards,2026-01-16 00:00:00
Kenyon Review,https://www.kenyonreview.org/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,literary arts,2026-01-05 00:00:00,High,Contest and fellowship programs,2026-01-16 00:00:00
Threepenny Review,https://www.threepennyreview.com/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,literary arts,2026-01-05 00:00:00,Medium,Occasional contests,2026-01-16 00:00:00
StorySouth,https://www.storysouth.com/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,southern literature,2026-01-05 00:00:00,Medium,Million Writers Award,2026-01-16 00:00:00
Zoetrope: All-Story,https://www.all-story.com/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,literary arts,2026-01-05 00:00:00,Medium,Fiction Contest,2026-01-16 00:00:00
Shenandoah,https://shenandoah.wlu.edu/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,literary arts,2026-01-05 00:00:00,Medium,Prizes and contests,2026-01-16 00:00:00
American Short Fiction,https://americanshortfiction.org/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,fiction,2026-01-05 00:00:00,Medium,Annual contests,2026-01-16 00:00:00
Agni,https://agnionline.bu.edu/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,literary arts,2026-01-05 00:00:00,Medium,John Cheever Prize for Fiction,2026-01-16 00:00:00
Southern Humanities Review,https://www.southernhumanitiesreview.com/,Literary Magazine,https://fundsforwriters.com/contests/,A,open,contests,USA,literary arts,2026-01-05 00:00:00,Low,Theodore Christian Hoepfner Award,2026-01-16 00:00:00
The New York Times,https://www.nytimes.com/,Newspaper,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,journalism,10+,High,Freelance opportunities across sections,2026-01-16 00:00:00
The Washington Post,https://www.washingtonpost.com/,Newspaper,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,journalism,10+,High,Freelance journalism opportunities,2026-01-16 00:00:00
The Atlantic,https://www.theatlantic.com/,Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,"journalism, essays",2026-05-10 00:00:00,High,"Nonfiction, essays, journalism",2026-01-16 00:00:00
Harper's Magazine,https://harpers.org/,Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,"journalism, essays",2026-01-05 00:00:00,High,"Essays, reportage, fiction",2026-01-16 00:00:00
The New Yorker,https://www.newyorker.com/,Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,"literary arts, journalism",10+,High,"Fiction, nonfiction, poetry, humor",2026-01-16 00:00:00
Slate,https://slate.com/,Online Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,journalism,10+,Medium,"News, culture, politics commentary",2026-01-16 00:00:00
Salon,https://www.salon.com/,Online Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,journalism,2026-05-10 00:00:00,Medium,"News, politics, culture",2026-01-16 00:00:00
Vox,https://www.vox.com/,Online Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,journalism,10+,Medium,Explainer journalism,2026-01-16 00:00:00
Mother Jones,https://www.motherjones.com/,Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,journalism,2026-05-10 00:00:00,Medium,Investigative journalism,2026-01-16 00:00:00
The Nation,https://www.thenation.com/,Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,"journalism, commentary",2026-05-10 00:00:00,Medium,Political commentary and journalism,2026-01-16 00:00:00
HuffPost,https://www.huffpost.com/,Online Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,journalism,10+,Medium,"News, opinion, lifestyle",2026-01-16 00:00:00
BuzzFeed,https://www.buzzfeed.com/,Online Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,"journalism, entertainment",10+,Medium,"News, culture, entertainment",2026-01-16 00:00:00
Vice,https://www.vice.com/,Online Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,International,"journalism, culture",10+,Medium,Counterculture journalism,2026-01-16 00:00:00
Smithsonian Magazine,https://www.smithsonianmag.com/,Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,"science, history, culture",2026-05-10 00:00:00,Medium,"Science, history, arts journalism",2026-01-16 00:00:00
National Geographic,https://www.nationalgeographic.com/,Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,International,"science, nature",10+,High,"Nature, science, exploration",2026-01-16 00:00:00
Outside Magazine,https://www.outsideonline.com/,Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,"outdoors, adventure",2026-05-10 00:00:00,Medium,"Adventure, travel, fitness",2026-01-16 00:00:00
Esquire,https://www.esquire.com/,Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,"lifestyle, culture",2026-05-10 00:00:00,Medium,Men's lifestyle and culture,2026-01-16 00:00:00
Vanity Fair,https://www.vanityfair.com/,Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,"culture, entertainment",2026-05-10 00:00:00,High,"Culture, politics, entertainment",2026-01-16 00:00:00
Wired,https://www.wired.com/,Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,"technology, science",10+,High,"Technology, science, culture",2026-01-16 00:00:00
The Guardian,https://www.theguardian.com/,Newspaper,https://fundsforwriters.com/markets/,A,open,paid assignments,International,journalism,10+,High,"News, culture, commentary",2026-01-16 00:00:00
Rolling Stone,https://www.rollingstone.com/,Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,"music, culture",10+,High,"Music, culture, politics",2026-01-16 00:00:00
Variety,https://variety.com/,Trade Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,entertainment,10+,Medium,Entertainment industry news,2026-01-16 00:00:00
The Hollywood Reporter,https://www.hollywoodreporter.com/,Trade Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,entertainment,10+,Medium,Entertainment industry news,2026-01-16 00:00:00
Travel + Leisure,https://www.travelandleisure.com/,Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,travel,10+,Medium,Travel features and guides,2026-01-16 00:00:00
Condé Nast Traveler,https://www.cntraveler.com/,Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,travel,10+,Medium,Travel journalism,2026-01-16 00:00:00
Food & Wine,https://www.foodandwine.com/,Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,"food, lifestyle",10+,Medium,Food and culinary content,2026-01-16 00:00:00
Bon Appétit,https://www.bonappetit.com/,Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,"food, lifestyle",10+,Medium,Food and cooking,2026-01-16 00:00:00
Real Simple,https://www.realsimple.com/,Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,lifestyle,10+,Medium,Lifestyle and home,2026-01-16 00:00:00
Men's Health,https://www.menshealth.com/,Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,"health, fitness",10+,Medium,Health and fitness,2026-01-16 00:00:00
Women's Health,https://www.womenshealthmag.com/,Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,"health, fitness",10+,Medium,Health and fitness,2026-01-16 00:00:00
Poets & Writers Magazine,https://www.pw.org/,Literary Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,literary arts,2026-01-05 00:00:00,Medium,Literary news and resources,2026-01-16 00:00:00
The Writer Magazine,https://www.writermag.com/,Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,writing craft,2026-01-05 00:00:00,Low,Writing advice and markets,2026-01-16 00:00:00
BookPage,https://bookpage.com/,Literary Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,book reviews,2026-05-10 00:00:00,Medium,Book reviews and author interviews,2026-01-16 00:00:00
Kirkus Reviews,https://www.kirkusreviews.com/,Literary Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,book reviews,10+,Medium,Book reviews,2026-01-16 00:00:00
Publishers Weekly,https://www.publishersweekly.com/,Trade Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,publishing industry,10+,Medium,Publishing industry news,2026-01-16 00:00:00
Electric Literature,https://electricliterature.com/,Online Literary Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,International,literary arts,2026-05-10 00:00:00,Medium,Contemporary literature,2026-01-16 00:00:00
LitHub,https://lithub.com/,Online Literary Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,International,literary arts,10+,Medium,Literary news and culture,2026-01-16 00:00:00
Guernica,https://www.guernicamag.com/,Online Literary Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,International,"literary arts, journalism",2026-05-10 00:00:00,Medium,Global arts and politics,2026-01-16 00:00:00
Catapult,https://catapult.co/,Online Literary Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,literary arts,2026-05-10 00:00:00,Medium,Literary fiction and essays,2026-01-16 00:00:00
Longreads,https://longreads.com/,Online Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,International,longform journalism,2026-05-10 00:00:00,Medium,Longform journalism and essays,2026-01-16 00:00:00
PEN America,https://pen.org/,Arts Organization,https://fundsforwriters.com/grants/,A,open,"grants, fellowships",USA,literary arts,10+,High,"Writers' Emergency Fund, Literary Awards, Prison Writing Program",2026-01-16 00:00:00
NEA (National Endowment for the Arts),https://www.arts.gov/,Government Body,https://fundsforwriters.com/grants/,A,open,"grants, fellowships",USA,multidisciplinary,10+,High,"Creative Writing Fellowships, Translation Projects, Arts Access grants",2026-01-16 00:00:00
NEH (National Endowment for the Humanities),https://www.neh.gov/,Government Body,https://fundsforwriters.com/grants/,A,open,grants,USA,"history, humanities",10+,High,"Public Scholar Program, Fellowships",2026-01-16 00:00:00
Guggenheim Foundation,https://www.gf.org/,Foundation,https://fundsforwriters.com/grants/,A,open,"grants, fellowships",International,multidisciplinary,2026-01-05 00:00:00,High,Guggenheim Fellowships for advanced professionals,2026-01-16 00:00:00
Yaddo,https://www.yaddo.org/,Residency,https://fundsforwriters.com/grants/,A,open,residencies,International,multidisciplinary,2026-05-10 00:00:00,High,Artist residencies with stipends available,2026-01-16 00:00:00
MacDowell,https://www.macdowell.org/,Residency,https://fundsforwriters.com/grants/,A,open,residencies,International,multidisciplinary,2026-05-10 00:00:00,High,Artist residencies with financial support,2026-01-16 00:00:00
Hedgebrook,https://www.hedgebrook.org/,Residency,https://fundsforwriters.com/grants/,A,demographic-specific,residencies,International,women writers,2026-01-05 00:00:00,High,Residencies for women and non-binary writers,2026-01-16 00:00:00
Ragdale Foundation,https://www.ragdale.org/,Residency,https://fundsforwriters.com/grants/,A,open,residencies,International,multidisciplinary,2026-05-10 00:00:00,Medium,Artist residencies with fellowships available,2026-01-16 00:00:00
VCCA (Virginia Center for Creative Arts),https://www.vcca.com/,Residency,https://fundsforwriters.com/grants/,A,open,residencies,International,multidisciplinary,10+,High,Artist residencies with full fellowships available,2026-01-16 00:00:00
Vermont Studio Center,https://vermontstudiocenter.org/,Residency,https://fundsforwriters.com/grants/,A,open,residencies,International,"visual arts, writing",10+,Medium,Artist residencies with full and partial fellowships,2026-01-16 00:00:00
Authors Guild,https://www.authorsguild.org/,Professional Organization,https://fundsforwriters.com/grants/,A,membership,"grants, legal support",USA,literary arts,2026-05-10 00:00:00,Medium,"Emergency funds, legal assistance for members",2026-01-16 00:00:00
AwP (Association of Writers & Writing Programs),https://www.awpwriter.org/,Professional Organization,https://fundsforwriters.com/grants/,A,membership,"grants, residencies",USA,literary arts,10+,High,"Writer-to-Writer Mentorship, Intro Journals Project",2026-01-16 00:00:00
Bread Loaf Writers' Conference,https://www.middlebury.edu/bread-loaf-conferences/,Conference/Workshop,https://fundsforwriters.com/grants/,A,fee-based,"fellowships, scholarships",USA,literary arts,2026-05-10 00:00:00,High,Fellowships and scholarships for workshop attendees,2026-01-16 00:00:00
Sewanee Writers' Conference,https://www.sewaneewriters.org/,Conference/Workshop,https://fundsforwriters.com/grants/,A,fee-based,"fellowships, scholarships",USA,literary arts,2026-05-10 00:00:00,Medium,"Fellowships, scholarships, Tennessee Williams Fellowships",2026-01-16 00:00:00
Tin House Workshop,https://tinhouse.com/workshops/,Conference/Workshop,https://fundsforwriters.com/grants/,A,fee-based,scholarships,USA,literary arts,2026-01-05 00:00:00,Medium,Scholarships for workshop participants,2026-01-16 00:00:00
Squaw Valley Community of Writers,https://www.communityofwriters.org/,Conference/Workshop,https://fundsforwriters.com/grants/,A,fee-based,scholarships,USA,literary arts,2026-01-05 00:00:00,Medium,Scholarships for workshop participants,2026-01-16 00:00:00
Granta,https://granta.com/,Literary Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,International,literary arts,2026-01-05 00:00:00,High,International literary magazine,2026-01-16 00:00:00
McSweeney's,https://www.mcsweeneys.net/,Literary Publisher,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,"literary arts, humor",2026-05-10 00:00:00,Medium,Literary journal and book publisher,2026-01-16 00:00:00
Believermag,https://www.believermag.com/,Literary Magazine,https://fundsforwriters.com/markets/,A,open,paid assignments,USA,"literary arts, culture",2026-01-05 00:00:00,Medium,Literary and cultural magazine,2026-01-16 00:00:00
